Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Cole McDonald","HOU","AA",26,48,0.33333333,1.636363636,0.223214285,0.482142857,0.294642857,0.151515151,0.06060606,0.42241379,0.25,0.32758621,0.16133005,305,507,812,"sa3010652"
"Hunter McMahon","MIN","AA",25,60.1,0.32369942,2.071428571,0.27118644,0.491525423,0.237288135,0.19047619,0.214285714,0.46961326,0.24861878,0.28176796,0.12149533,326,637,963,"sa3010658"
"Andrew Schultz","PHI","AA",25,37.2,0.32653061,0.928571428,0.164948453,0.402061855,0.43298969,0.071428571,0.071428571,0.43564356,0.2970297,0.26732673,0.13343328,281,386,667,"sa3010782"
"Nelson L. Alvarez","TBR","AA",25,37,0.34666667,1.666666666,0.123287671,0.547945205,0.328767123,0.291666666,0.083333333,0.44736842,0.22368421,0.32894737,0.19579288,235,383,618,"sa3010783"
"Cayne Ueckert","CHC","AA",27,39.1,0.34736842,1.105263157,0.157894736,0.442105263,0.4,0.210526315,0.078947368,0.42268041,0.2371134,0.34020619,0.16402878,265,430,695,"sa3010789"
"Dylan Spacke","BOS","AA",25,52,0.28082192,1.048387096,0.153333333,0.433333333,0.413333333,0.096774193,0.064516129,0.43333333,0.22,0.34666667,0.0967366,352,506,858,"sa3010812"
"Bryce Tassin","DET","AA",26,34.2,0.34821429,1.297297297,0.220183486,0.440366972,0.339449541,0.243243243,0.081081081,0.45217391,0.2173913,0.33043478,0.11775362,192,360,552,"sa3010814"
"Fineas Del Bonta-Smith","COL","AA",26,45,0.33333333,0.692307692,0.278688524,0.295081967,0.426229508,0.134615384,0.23076923,0.36585366,0.34146341,0.29268293,0.14691358,285,525,810,"sa3010821"
"Andrew Magno","DET","AA",25,51.1,0.28205128,1.78125,0.219298245,0.5,0.280701754,0.25,0.03125,0.44915254,0.16949153,0.38135593,0.15411356,339,524,863,"sa3010824"
"Bradley Hanner","CLE","AA",24,64.2,0.26582278,1.193548387,0.160493827,0.456790123,0.382716049,0.241935483,0.096774193,0.50920245,0.17177914,0.3190184,0.12906137,430,678,1108,"sa3010837"
