Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Domingo Robles","ATL","AA",25,9,7,3.393854893257307,23,22,0,0,0,0,,119.1,494,109,53,45,9,32,0,5,10,6,119,"sa872881"
"Nolan Watson","SDP","AA",26,3,3,4.078125,14,12,0,0,0,0,,64,271,60,34,29,7,22,0,5,1,3,41,"sa874732"
"Gray Fenter","NYY","AA",27,2,2,5.008065132395237,10,10,0,0,0,0,,41.1,182,37,27,23,6,21,0,0,5,0,51,"sa875233"
"Collin Kober","SEA","AA",28,4,1,5.55,43,1,0,0,0,3,,60,270,61,41,37,10,22,0,10,6,0,60,"sa913150"
"Noah Bremer","TEX","AA",27,1,4,6.30656864065255,14,13,0,0,0,0,,45.2,204,50,35,32,7,22,0,3,1,1,33,"sa915571"
"Alex Troop","WSN","AA",26,3,9,4.38079514467304,24,18,0,0,0,0,,100.2,433,92,53,49,15,43,0,6,3,1,95,"sa915638"
"Wilfredo Pereira","STL","AA",24,10,8,4.968523369557627,26,24,0,0,0,0,,137.2,591,138,84,76,18,53,0,10,9,1,104,"sa917136"
"Jose Chacin","NYM","AA",26,3,5,5.04672933180831,18,16,0,0,0,0,,71.1,298,68,43,40,18,18,0,1,6,4,63,"sa917323"
"Oliver Garcia","PIT","AA",25,7,3,4.273381764076482,41,0,0,0,7,1,,46.1,219,43,29,22,3,33,3,7,6,1,50,"sa917415"
"Deyni Olivero","ARI","AA",25,5,5,9.529411764705882,17,17,0,0,0,0,,68,338,108,77,72,15,38,0,3,6,1,38,"sa917869"
"Kevin Gowdy","LAD","AA",25,2,1,4.9304354368041245,31,0,0,0,3,1,,38.1,168,35,24,21,4,20,0,3,6,4,41,"sa917928"
"Travis MacGregor","PIT","AA",25,4,0,1.8349517281470036,16,1,0,0,0,1,,34.1,140,29,8,7,3,13,0,0,0,0,45,"sa917950"
"Curtis Taylor","MIN","AA",27,2,5,3.9767441860465116,31,1,0,0,2,2,,43,189,37,24,19,3,21,0,5,6,1,46,"sa917970"
"Braeden Ogle","PIT","AA",25,0,0,4.909090909090909,29,1,0,0,2,1,,33,152,26,21,18,6,28,0,3,3,1,36,"sa917989"
"Henry Henry","SDP","AA",24,1,3,5.845361744259194,24,1,0,0,0,0,,32.1,153,32,22,21,1,28,0,3,4,0,25,"sa918121"
"Trevor Bettencourt","LAD","AA",28,4,1,4.868851850059153,33,1,0,0,0,2,,40.2,186,47,25,22,3,19,2,1,9,0,42,"sa918556"
"Chad Donato","MIN","AA",28,1,7,11.571428571428571,13,11,0,0,0,1,,42,217,72,55,54,13,23,0,2,0,0,36,"sa919112"
"Raul Brito","SDP","AA",26,5,1,2.677686288084713,17,0,0,0,0,0,,40.1,181,39,14,12,1,19,0,5,7,1,52,"sa928287"
"Kenny Hernandez","STL","AA",25,7,2,5.95945945945946,15,14,0,0,0,0,,74,329,85,52,49,5,32,0,2,5,0,67,"sa943755"
"Daison Acosta","NYM","AA",24,4,3,4.75,29,0,0,0,3,2,,36,161,28,21,19,6,24,4,3,4,2,39,"sa944989"
"Lisandro Santos","NYY","AA",24,2,3,2.6470588235294117,33,0,0,0,0,2,,51,218,31,25,15,3,34,0,2,6,2,55,"sa945728"
"Christian Mejias","MIL","AA",24,6,12,6.8983519375288385,27,24,0,0,0,0,,121.1,552,127,99,93,21,58,0,11,15,6,123,"sa946165"
