Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Ozzie Albies","ATL",0.324803149,1.036082474,0.254716981,0.379245283,0.366037735,0.077319587,0.12371134,18,0.089552238,0,0,0.45488722,0.33834586,0.20676692,0.14849624,0.42857143,0.42293233,"Ozzie Albies",16556,645277
"Corey Seager","LAD",0.303191489,0.993548387,0.217721518,0.389873417,0.392405063,0.04516129,0.122580645,9,0.058441558,0,0,0.3721519,0.34683544,0.28101266,0.14683544,0.43037975,0.42278481,"Corey Seager",13624,608369
"Austin Riley","ATL",0.293333333,0.536585365,0.25,0.261904761,0.488095238,0.121951219,0.219512195,3,0.068181818,0,0,0.36309524,0.4047619,0.23214286,0.23214286,0.3452381,0.42261905,"Austin Riley",18360,663586
"Pete Alonso","NYM",0.28021978,0.976878612,0.179856115,0.405275779,0.414868105,0.132947976,0.306358381,12,0.071005917,0,0,0.45803357,0.36690647,0.17505995,0.15827338,0.41966427,0.42206235,"Pete Alonso",19251,624413
"Brad Miller","- - -",0.28125,0.84,0.132075471,0.396226415,0.471698113,0.16,0.26,2,0.047619047,0,0,0.29357798,0.36697248,0.33944954,0.14678899,0.43119266,0.42201835,"Brad Miller",12775,543543
"Willy Adames","TBR",0.320334261,1.543859649,0.228723404,0.468085106,0.303191489,0.043859649,0.175438596,11,0.0625,0,0,0.38219895,0.35863874,0.2591623,0.13350785,0.44502618,0.42146597,"Willy Adames",15986,642715
"Robel García","CHC",0.303030303,0.47368421,0.243243243,0.243243243,0.513513513,0.105263157,0.263157894,1,0.111111111,0,0,0.47368421,0.28947368,0.23684211,0.26315789,0.31578947,0.42105263,"Robel Garcia",13167,596825
"Taylor Ward","LAA",0.388888888,1,0.263157894,0.368421052,0.368421052,0.142857142,0.142857142,0,0,0,0,0.52631579,0.31578947,0.15789474,0.15789474,0.42105263,0.42105263,"Taylor Ward",17548,621493
"Sheldon Neuse","OAK",0.368421052,1.6,0.315789473,0.421052631,0.263157894,0,0,0,0,0,0,0.28947368,0.47368421,0.23684211,0.13157895,0.44736842,0.42105263,"Sheldon Neuse",19635,641914
"Gary Sánchez","NYY",0.243697478,0.674418604,0.202952029,0.32103321,0.47601476,0.155038759,0.263565891,7,0.08045977,0,0,0.49815498,0.29520295,0.20664207,0.19926199,0.3800738,0.42066421,"Gary Sanchez",11442,596142
"Ketel Marte","ARI",0.342163355,1.238095238,0.221532091,0.430641821,0.347826086,0.083333333,0.19047619,9,0.04326923,2,1,0.4371134,0.35463918,0.20824742,0.15670103,0.42268041,0.42061856,"Ketel Marte",13613,606466
"Francisco Lindor","CLE",0.29113924,1.195652173,0.196819085,0.437375745,0.365805168,0.135869565,0.173913043,13,0.059090909,0,0,0.44575937,0.32938856,0.22485207,0.16370809,0.41617357,0.42011834,"Francisco Lindor",12916,596019
"Kyle Schwarber","CHC",0.275659824,0.898734177,0.197860962,0.379679144,0.422459893,0.088607594,0.240506329,8,0.056338028,4,0.8,0.40105541,0.30870712,0.29023747,0.12664908,0.45382586,0.41952507,"Kyle Schwarber",16478,656941
"Starlin Castro","MIA",0.29296875,1.454545454,0.191011235,0.479400749,0.329588014,0.085227272,0.125,17,0.06640625,0,0,0.44007491,0.33895131,0.22097378,0.15917603,0.42134831,0.41947566,"Starlin Castro",4579,516770
"Gordon Beckham","DET",0.281879194,1.050847457,0.219354838,0.4,0.380645161,0.101694915,0.101694915,4,0.064516129,0,0,0.55483871,0.24516129,0.2,0.14193548,0.43870968,0.41935484,"Gordon Beckham",9015,493596
"Michael Brantley","HOU",0.3197556,1.471337579,0.239215686,0.452941176,0.307843137,0.031847133,0.140127388,5,0.021645021,3,1,0.40155945,0.33528265,0.26315789,0.13255361,0.44834308,0.41910331,"Michael Brantley",4106,488726
"Fernando Tatis Jr.","SDP",0.409756097,1.507246376,0.224215246,0.466367713,0.30941704,0.057971014,0.318840579,15,0.144230769,2,0.5,0.4185022,0.36563877,0.21585903,0.21145374,0.37004405,0.4185022,"Fernando Tatis Jr.",19709,665487
"Yadier Molina","STL",0.289325842,1.170731707,0.270491803,0.393442622,0.336065573,0.081300813,0.081300813,9,0.0625,0,0,0.42349727,0.3442623,0.23224044,0.15027322,0.43169399,0.41803279,"Yadier Molina",7007,425877
"Marcus Semien","OAK",0.294455066,1.055555555,0.2,0.41081081,0.389189189,0.087962962,0.152777777,14,0.061403508,0,0,0.44064748,0.3147482,0.24460432,0.14928058,0.43345324,0.41726619,"Marcus Semien",12533,543760
