Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Paulo Orlando","KCR",484,0.026859504,0.216942148,0.123809523,0.301969365,0.329166666,0.404814004,0.73398067,0.102844639,5.867824729744598,0.38,0.19999998807907104,-0.8999999761581421,3.1501550674438477,1.2925707465037704,56.47629206851654,-0.541081105912401,0.3167652823730899,95.7870857449875,"Paulo Orlando",8628,449181
"Conor Gillaspie","SFG",205,0.058536585,0.136585365,0.428571428,0.261780104,0.307317073,0.439790575,0.747107648,0.178010471,4.816487438697827,0.278481012,0,0.4000000059604645,0.36505070328712463,-0.7137039392255247,23.386460397876267,-0.7634600582351638,0.31360679658332674,95.69401182455071,"Conor Gillaspie",9009,543216
"Kelby Tomlinson","SFG",120,0.1,0.15,0.666666666,0.29245283,0.369747899,0.330188679,0.699936578,0.037735849,4.449148197882817,0.352272727,1.100000023841858,0.5,0.2638203799724579,0.5027591770049185,13.688275495901644,-0.4482633076757781,0.31359306331408227,95.6848105950152,"Kelby Tomlinson",13005,605509
"Jarrod Dyson","KCR",337,0.077151335,0.115727002,0.666666666,0.277591973,0.340425531,0.387959866,0.728385397,0.110367893,8.69221738874571,0.315384615,1.7000001072883606,0.699999988079071,4.809716701507568,2.936665847664699,39.16968264181272,-0.5304304982338743,0.3162126125545677,95.40725459245441,"Jarrod Dyson",4866,502481
"Teoscar Hernández","HOU",112,0.098214285,0.25,0.392857142,0.23,0.303571428,0.42,0.723571428,0.19,2.7198234877019196,0.275362318,-0.20000004768371582,-1.100000023841858,0.6049215793609619,-0.8688274235464633,12.269432831955648,-0.924670051383281,0.3081147928495665,95.21763638742547,"Teoscar Hernandez",13066,606192
"Cheslor Cuthbert","KCR",510,0.062745098,0.188235294,0.333333333,0.27368421,0.318271119,0.412631578,0.730902697,0.138947368,2.7374621215402635,0.319783197,-3.5000001788139343,-0.800000011920929,-3.4826903343200684,0.12849706807173789,59.15574757113976,-0.9245423440642836,0.3159231534172838,95.20831918103687,"Cheslor Cuthbert",10473,596144
"Blake Swihart","BOS",74,0.148648648,0.229729729,0.647058823,0.258064516,0.364864864,0.354838709,0.719703573,0.096774193,4.687348129817637,0.347826086,0.8999999761581421,0.5,0.7426131367683411,-0.4635834489017725,8.868895292361618,0.15136303015554017,0.3205989373696817,95.19513148263852,"Blake Swihart",13176,596119
"Jace Peterson","ATL",408,0.12745098,0.169117647,0.753623188,0.254285714,0.349753694,0.365714285,0.715467979,0.111428571,3.0763285912683864,0.29602888,0.19999998807907104,-0.699999988079071,2.4492034912109375,-1.3089419258758426,47.54370445453461,-0.5205274776286282,0.31657396640517926,95.12286564542619,"Jace Peterson",12325,607054
"Brian Goodwin","WSN",44,0.045454545,0.318181818,0.142857142,0.285714285,0.318181818,0.428571428,0.746753246,0.142857143,2.64285714,0.428571428,-0.30000000447034836,-0.10000000149011612,0.39494621753692627,-0.020194433396682143,5.241509993839438,0.05811243252771627,0.319720673290166,95.04055338681196,"Brian Goodwin",12858,571718
"Addison Russell","CHC",598,0.091973244,0.225752508,0.407407407,0.238095238,0.321070234,0.417142857,0.738213091,0.179047619,4.276110544800606,0.277333333,-0.3999999761581421,1.2000000476837158,0.015291540883481503,0.28286423557437956,69.60891652369082,-0.8381685141366676,0.3164214907667121,94.81011056687272,"Addison Russell",14106,608365
"Hernan Iribarren","CIN",45,0,0.244444444,0,0.311111111,0.311111111,0.444444444,0.755555555,0.133333333,7.6467910928736895,0.411764705,0.4000000059604645,-0.4000000059604645,0.46652424335479736,0.17531791771762073,5.346814245329627,0.04561219398809338,0.31934846374723647,94.77338895349506,"Hernan Iribarren",4177,454975
"Brett Lawrie","CHW",384,0.078125,0.283854166,0.275229357,0.247863247,0.309895833,0.413105413,0.723001246,0.165242166,3.0638190667959675,0.324675324,1.9999998807907104,1.600000023841858,2.1219730377197266,-0.015432411106303334,43.011164900538844,-2.2257592709089087,0.31109570754760224,94.71647444687221,"Brett Lawrie",5247,543434
"Justin Morneau","CHW",218,0.055045871,0.23853211,0.23076923,0.261083743,0.302752293,0.428571428,0.731323721,0.167487685,1.57717917125,0.319727891,0.5000000074505806,-0.10000000149011612,0.19806025922298431,-0.09872834105044603,24.389993617963146,-1.291385208535839,0.31094114709010323,94.61025030591067,"Justin Morneau",1737,408047
"Rey Fuentes","KCR",44,0.068181818,0.181818181,0.375,0.31707317,0.363636363,0.341463414,0.705099777,0.024390244,1.4603513257631258,0.393939393,0.20000000298023224,0.20000000298023224,-0.09919898211956024,-0.8531206420157105,5.066242293363362,-0.11715526794836,0.31489330394701526,94.50053869779349,"Rey Fuentes",10329,571681
"Denard Span","SFG",637,0.083202511,0.124018838,0.670886075,0.265734265,0.331220285,0.381118881,0.712339166,0.115384616,4.606546648960947,0.291322314,2.9000001549720764,0.699999988079071,1.5938657522201538,-0.8450841065496206,71.57145650279045,-3.470003646199705,0.31151845250486,94.29483054636589,"Denard Span",8347,452655
"Javier Báez","CHC",450,0.033333333,0.24,0.138888888,0.273159144,0.31403118,0.42280285,0.73683403,0.149643706,4.744904785557973,0.335548172,0.8999999761581421,1,0.19245612621307373,0.9374472592025995,52.06689049233207,-0.945130021083262,0.3155747840490042,94.24282081814508,"Javier Baez",12979,595879
"Steven Souza Jr.","TBR",468,0.066239316,0.339743589,0.194968553,0.246511627,0.303418803,0.409302325,0.712721128,0.162790698,4.0652207159355775,0.34765625,2.900000214576721,0.8999999761581421,2.1728951930999756,-1.298479113029316,51.36813352690523,-3.7643678070467192,0.3083722718760499,94.06218680735162,"Steven Souza Jr.",5667,519306
"Adam Lind","SEA",430,0.060465116,0.206976744,0.292134831,0.239401496,0.286046511,0.431421446,0.717467957,0.19201995,1.4780620717567212,0.258503401,-0.8999998569488525,-1.2999999523162842,-2.0886995792388916,-0.5959691789466888,45.67517420040038,-4.980756512418717,0.30408264379032324,93.31754260363601,"Adam Lind",8027,452252
"Starlin Castro","NYY",610,0.039344262,0.193442622,0.20338983,0.270363951,0.30049261,0.433275563,0.733768173,0.162911612,3.0757514319164923,0.304740406,-1.199999988079071,-0.800000011920929,-3.1059396266937256,0.5060588147025555,69.18273078477105,-2.678008133414178,0.31279970332980156,93.21682799036036,"Starlin Castro",4579,516770
"Andrés Blanco","PHI",209,0.052631578,0.196172248,0.268292682,0.252631578,0.315789473,0.405263157,0.72105263,0.152631579,4.200606046623783,0.301369863,0.5,-0.800000011920929,0.70296311378479,-0.9324108664877713,23.80527671668358,-0.8158616995471011,0.3133893249707929,93.1864762031247,"Andres Blanco",1907,433217
"Guillermo Heredia","SEA",107,0.112149532,0.140186915,0.8,0.25,0.349056603,0.315217391,0.664273994,0.065217391,2.66695271123915,0.289473684,1.1000000461935997,0.10000000149011612,0.2489246428012848,-0.2837778793182224,11.305584586333119,-1.2994958468567501,0.3034019689514952,92.849737958136,"Guillermo Heredia",18721,628338
"Eugenio Suárez","CIN",627,0.081339712,0.247208931,0.329032258,0.24778761,0.31738437,0.410619469,0.728003839,0.162831859,4.446529984623774,0.303571428,-1.2999999523162842,0.30000001192092896,0.4766176640987396,-0.18747581564821303,72.9094056140521,-0.9540096346399278,0.31627615321385993,92.7149545109167,"Eugenio Suarez",12552,553993
"Max Kepler","MIN",447,0.093959731,0.208053691,0.451612903,0.234848484,0.30941704,0.424242424,0.733659464,0.18939394,4.375573703280098,0.261168384,1.5999999046325684,2.4000000953674316,1.992775797843933,0.16512947529554367,50.856558020257964,-1.8020490230679371,0.3132344641750069,92.66955503972764,"Max Kepler",12144,596146
"Scooter Gennett","MIL",542,0.070110701,0.210332103,0.333333333,0.263052208,0.316666666,0.411646586,0.728313252,0.148594378,4.106035240986168,0.314516129,-3.700000047683716,0,-2.3983054161071777,0.9097901557106525,62.28281802810514,-1.5672155680528903,0.3146158769754399,92.11435091470847,"Scooter Gennett",10339,571697
"Lucas Duda","NYM",172,0.087209302,0.209302325,0.416666666,0.228758169,0.302325581,0.411764705,0.714090286,0.183006536,1.40739202125,0.25,-0.699999988079071,0.800000011920929,-0.5301007032394409,-0.08077773358672857,18.24561693225512,-2.01675535287252,0.303910353604485,92.07097618376142,"Lucas Duda",2502,446263
"Justin Smoak","TOR",341,0.117302052,0.328445747,0.357142857,0.217391304,0.313782991,0.391304347,0.705087338,0.173913043,1.793543128516332,0.294797687,-0.4999999701976776,-0.4000000059604645,-1.9404078722000122,0.016006276477128267,37.57129364814327,-2.600037452022575,0.3088797821718104,91.97806831773796,"Justin Smoak",9054,475253
