Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Dylan Bundy","BAL",8.062868852768625,2.705304680863157,2.98039216,1.3791749353420018,0.21776504,0.0730659,0.14469914,0.2375,1.196463725959087,0.2727272727272727,0.73732719,95.28865047919035,95.55628966091712,108.64647089290368,4.243615185667697,4.383572970073425,-0.13995778440572781,4.77132758978404,4.451799900256363,"Dylan Bundy",12917,605164
"Iván Nova","PIT",6.304813348683513,1.7326204622336372,3.63888889,1.395722039021541,0.16687898,0.04585987,0.12101911,0.27358490566037735,1.2780749705982695,0.29896907216494845,0.73028238,97.15130581535078,103.37853781347061,96.86044207729277,4.139037770891466,4.462452634908335,-0.32341486401686836,4.187166798069814,4.451622444986761,"Ivan Nova",1994,467100
"Dan Straily","MIA",8.422018820219481,2.9724772306656995,2.83333333,1.5357799025106114,0.22106632,0.07802341,0.14304291,0.25,1.2990826415501946,0.2882703777335984,0.76417004,103.00374951298681,108.93314111494792,108.66769801472647,4.260550697287503,4.577823259976368,-0.3172725626888653,4.699665682142733,4.433564995158603,"Dan Straily",9460,573185
"Kevin Gausman","BAL",8.630356907698578,3.4232141924391013,2.52112676,1.398214247615971,0.21936275,0.0870098,0.13235294,0.2810810810810811,1.4946428164170724,0.33646616541353386,0.76006574,105.01531539827221,97.68519456374327,98.53717117057141,4.67678558685342,4.480853943873425,0.19593164297999444,4.328957704789147,4.413476436129248,"Kevin Gausman",14107,592332
"Gio González","WSN",8.417910447761194,3.537313432835821,2.37974684,0.9402985074626866,0.22732769,0.095526,0.13180169,0.21322537112010798,1.1791044776119404,0.2575187969924812,0.81547064,66.67993717060092,89.12298546410534,98.15099817800592,2.955223880597015,3.9287839728208325,-0.9735600922238175,4.243183925584774,4.405685778801972,"Gio Gonzalez",7448,461829
"Tanner Roark","WSN",8.238970126041517,3.1764704100401033,2.59375,1.141544053608162,0.21391753,0.08247423,0.1314433,0.2521246458923513,1.3345587486626822,0.29980657640232106,0.6626506,105.26827057366438,93.75224408395184,96.06122453007599,4.6654409147464015,4.1337425806324415,0.5316983341139601,4.1524764260434495,4.313286909184118,"Tanner Roark",8753,543699
"Drew Pomeranz","BOS",9.017275792636365,3.575816262597179,2.52173913,0.9846450578166146,0.23513514,0.09324324,0.14189189,0.24887556221889057,1.3531671847187394,0.310126582278481,0.80037665,72.50000635843617,88.29960939049212,94.35256654793393,3.316699142119123,3.8371023656896597,-0.5204032235705367,4.145844817001686,4.307654980509511,"Drew Pomeranz",11426,519141
"Rick Porcello","BOS",8.011476211445414,2.124590376515911,3.77083333,1.6819673814084295,0.20451977,0.05423729,0.15028249,0.28399518652226236,1.3967214512280526,0.3235294117647059,0.69679054,101.5910006119464,106.01589361668711,100.87083943731396,4.647541448628555,4.603541478231641,0.04399997039691428,4.43107601081727,4.277166723105987,"Rick Porcello",2717,519144
"Germán Márquez","COL",8.166665897447949,2.722221965815983,3,1.3888887580693792,0.20970043,0.06990014,0.13980029,0.2701863354037267,1.3765430802198735,0.3156779661016949,0.76020408,88.08057975895511,96.258510047978,96.63051317569429,4.388888475499238,4.4045531570139325,-0.01566468151469458,4.1771866378946,4.270693665315109,"German Marquez",15038,608566
"Mike Leake","- - -",6.290322322627147,1.7903225072092648,3.51351351,0.9677418957887918,0.16624041,0.04731458,0.11892583,0.27309782608695654,1.2795698399874025,0.30887372013651876,0.70319635,93.56971059170458,92.03971659107553,90.17475100691651,3.919354677944607,3.8995751476519405,0.019779530292666436,3.9075564696297374,4.150662644590402,"Mike Leake",10130,502190
"Jake Arrieta","CHC",8.714850958502684,2.9405938817033594,2.96363636,1.2297028959850411,0.23055163,0.07779349,0.15275813,0.2336448598130841,1.2178217085842196,0.27850877192982454,0.72757112,81.62070293583766,96.02385330366575,95.13877366886432,3.5287126580440313,4.155659435882887,-0.6269467778388558,4.11243706046281,4.145481303238347,"Jake Arrieta",4153,453562
"Michael Wacha","STL",8.58350074250739,2.987927473657636,2.87272727,0.923541219130542,0.2253923,0.07845934,0.14693295,0.2643856920684292,1.3581488516625617,0.3269230769230769,0.71498531,98.6188063333449,86.0379527062889,89.75781355023835,4.128772509054188,3.634500846575389,0.49427166247879883,3.87887423514168,4.137279554452941,"Michael Wacha",14078,608379
"Patrick Corbin","ARI",8.446396356348354,2.8945515603216267,2.91803279,1.2337432880059391,0.21549637,0.07384988,0.14164649,0.27296587926509186,1.41827754048546,0.32616487455197135,0.74278438,88.38312759457513,93.11268529322518,89.95251674531816,4.033391518480955,4.075038549397771,-0.041647030916815986,3.8873254087871567,4.124574027288206,"Patrick Corbin",9323,571578
"Sonny Gray","- - -",8.482545669678132,3.160164073017343,2.68421053,1.0533880243391143,0.22566372,0.0840708,0.14159292,0.22491909385113268,1.2073921214647159,0.26905829596412556,0.69605568,82.86203982324052,88.967352662573,85.58378040899005,3.5482543977738588,3.9030195243017785,-0.3547651265279197,3.7621340731941553,4.084056704670327,"Sonny Gray",12768,543243
"Jon Lester","CHC",8.966789415456923,2.988929805152307,3,1.2952029155659999,0.23591088,0.07863696,0.15727392,0.25608011444921314,1.3228781915396324,0.3103448275862069,0.68731849,100.24616178115487,94.71077643273094,89.14571736246305,4.333948217470845,4.098599077317371,0.23534914015347397,3.8523059440126985,4.065141108120995,"Jon Lester",4930,452657
