Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Steven Kwan","CLE",540,0.098148148,0.094444444,1.039215686,0.291666666,0.368029739,0.425,0.793029739,0.133333334,5.102867599411571,0.303614457,1.7999999970197678,0.20000000298023224,1.1071525812149048,-0.9272817000746727,80.23567458205726,17.067515901856677,0.3494486094185854,131.13221880055934,"Steven Kwan",24610,680757
"Jarren Duran","BOS",735,0.073469387,0.217687074,0.3375,0.284649776,0.341961852,0.491803278,0.83376513,0.207153502,7.982662395677068,0.344827586,2.099999964237213,0.699999988079071,5.671164035797119,2.6469207033514977,113.59841430554036,27.619531657489574,0.3568673902286514,130.52641796994712,"Jarren Duran",24617,680776
"Jackson Merrill","SDP",593,0.048903878,0.170320404,0.287128712,0.292418772,0.32597623,0.5,0.82597623,0.207581228,6.132499834830481,0.31797235,,,2.762700319290161,0.9589659124612808,89.09346624302768,19.725469766437037,0.351507786788097,129.76781594820272,"Jackson Merrill",29490,701538
"Anthony Santander","BAL",665,0.087218045,0.193984962,0.449612403,0.235294117,0.308270676,0.505882352,0.814153028,0.270588235,3.2090874754210423,0.224824355,-1.100000023841858,1,-2.0920820236206055,-0.633907325565815,96.5210349187663,18.730617284815597,0.3451743663437777,128.18647287598864,"Anthony Santander",14551,623993
"Jose Altuve","HOU",682,0.068914956,0.174486803,0.394957983,0.294585987,0.350439882,0.439490445,0.789930327,0.144904458,4.423971485211609,0.337423312,-0.3999999761581421,-1.399999976158142,-0.8066286444664001,0.09696464240550995,98.47424143025732,18.695196578596605,0.344237520589548,126.72962900331002,"Jose Altuve",5417,514888
"Trea Turner","PHI",539,0.050092764,0.181818181,0.275510204,0.295049504,0.337662337,0.46930693,0.806969267,0.174257426,5.2825283821312405,0.330749354,1.7999998331069946,0.8999999761581421,1.5277154445648193,1.106604978442192,79.92134567935344,16.870165070782857,0.3490665514084315,122.52063480906867,"Trea Turner",16252,607208
"Nathaniel Lowe","TEX",565,0.125663716,0.221238938,0.568,0.265432098,0.361061946,0.401234567,0.762296513,0.135802469,2.6362931825550135,0.323782234,-0.30000001192092896,0.6000000238418579,0.0954488143324852,-0.9417117983102798,78.41105763695643,12.318447166005836,0.3372676782574214,122.43660873784535,"Nathaniel Lowe",19566,663993
"Manny Machado","SDP",643,0.069984447,0.192846034,0.362903225,0.274873524,0.32503888,0.472175379,0.797214259,0.197301855,3.5726913585907174,0.301801801,0.2999999523162842,-2.5,-0.6153727769851685,0.25347839295864105,90.47638189995419,15.259481841863511,0.3396645368923385,121.7964969591834,"Manny Machado",11493,592518
"Pete Alonso","NYM",695,0.100719424,0.247482014,0.406976744,0.240131578,0.329496402,0.458881578,0.78837798,0.21875,2.750297248737655,0.275862068,-1.6000000014901161,0.10000000149011612,-3.5637903213500977,-0.6627875715494156,97.89861168860448,16.598851905753733,0.3398528206020637,121.38155642447019,"Pete Alonso",19251,624413
"Ian Happ","CHC",657,0.121765601,0.255707762,0.476190476,0.242530755,0.340943683,0.44112478,0.782068463,0.198594025,4.8940028570369805,0.298941798,0.20000004768371582,0.8999999761581421,0.7414231896400452,0.5114147961139679,93.17625490495568,16.321661844044968,0.34104491788439634,121.011572715351,"Ian Happ",17919,664023
