"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","H","1B","2B","3B","HR","TB","R","RBI","BB","K","HBP","SB","CS","SF","SH","GDP","GUILLEN"
126005,680757,"Steven Kwan",26,2024,"CLE",122,540,480,140,107,16,3,14,204,83,44,53,51,5,12,5,2,0,8,32.5
126172,669127,"Shea Langeliers",26,2024,"OAK",135,534,482,108,59,18,2,29,217,58,80,41,145,5,4,2,0,6,15,58.6
128477,664983,"Jake McCarthy",26,2024,"AZ",134,495,442,126,98,13,7,8,177,66,56,31,78,14,25,6,5,3,7,34.8
130939,663457,"Lars Nootbaar",26,2024,"STL",106,405,348,85,52,18,3,12,145,39,45,52,79,1,7,3,1,3,11,38.5
132232,665161,"Jeremy Peña",26,2024,"HOU",157,650,602,160,115,28,2,15,237,78,70,25,111,14,20,6,3,6,15,34.6
135527,668939,"Adley Rutschman",26,2024,"BAL",148,638,571,143,102,21,1,19,223,68,79,58,103,2,1,0,0,7,10,48.5
137201,669701,"Josh Smith",26,2024,"TEX",148,592,523,135,91,30,1,13,206,67,62,46,121,18,11,2,2,3,6,37.3
137710,668715,"Spencer Steer",26,2024,"CIN",158,656,574,129,71,34,4,20,231,74,92,72,137,8,25,3,0,2,6,39.2
137906,681082,"Bryson Stott",26,2024,"PHI",147,571,506,124,92,19,2,11,180,65,57,53,93,3,32,3,0,9,9,40
139109,669707,"Jared Triolo",26,2024,"PIT",120,446,394,85,65,10,1,9,124,41,46,42,118,5,8,1,0,5,5,39
142212,683737,"Michael Busch",26,2024,"CHC",149,567,496,123,72,28,2,21,218,73,65,63,162,4,2,1,0,4,10,37
142821,683734,"Andrew Vaughn",26,2024,"CWS",149,619,570,140,90,30,1,19,229,55,70,38,132,6,2,0,0,5,14,50.9
143748,686469,"Vinnie Pasquantino",26,2024,"KC",131,554,496,130,79,30,2,19,221,64,97,40,71,4,1,0,1,13,14,54.7
143845,686668,"Brenton Doyle",26,2024,"COL",148,603,542,141,90,24,4,23,242,82,72,46,153,3,30,5,4,8,14,37.8
144197,687462,"Spencer Horwitz",26,2024,"TOR",96,381,328,87,56,19,0,12,142,46,40,42,70,7,0,0,0,4,9,50
