"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Honeywell, Brent","641703","2023","235","161",0.26,0.277,-0.017000000000000015,0.446,0.458,-0.01200000000000001,0.347,0.362,-0.015000000000000013,"4.82","5.74","-0.925"
"Leone, Dominic","608678","2023","235","151",0.244,0.249,-0.0050000000000000044,0.507,0.468,0.03899999999999998,0.352,0.35,0.0020000000000000018,"4.67","5.30","-0.633"
"Phillips, Evan","623465","2023","234","152",0.177,0.226,-0.049000000000000016,0.302,0.352,-0.04999999999999999,0.232,0.274,-0.04200000000000001,"2.05","3.11","-1.056"
"Priester, Quinn","682990","2023","234","168",0.29,0.296,-0.006000000000000005,0.555,0.48,0.07500000000000007,0.394,0.375,0.019000000000000017,"7.74","6.24","1.5"
"Bradford, Cody","674003","2023","234","170",0.259,0.244,0.015000000000000013,0.5,0.467,0.032999999999999974,0.333,0.323,0.010000000000000009,"5.30","4.42","0.884"
"Leclerc, José","600917","2023","233","136",0.183,0.186,-0.0030000000000000027,0.292,0.333,-0.041000000000000036,0.261,0.276,-0.015000000000000013,"2.68","3.16","-0.476"
"Webb, Jacob","657097","2023","232","141",0.199,0.214,-0.014999999999999986,0.352,0.348,0.0040000000000000036,0.294,0.302,-0.008000000000000007,"3.69","3.82","-0.131"
"Weems, Jordan","607179","2023","232","141",0.194,0.225,-0.031,0.393,0.421,-0.02799999999999997,0.294,0.319,-0.025000000000000022,"3.62","4.30","-0.678"
"Bard, Daniel","453268","2023","232","128",0.206,0.226,-0.020000000000000018,0.371,0.415,-0.043999999999999984,0.345,0.371,-0.026000000000000023,"4.56","6.08","-1.519"
"Williams, Devin","642207","2023","231","115",0.129,0.171,-0.04200000000000001,0.218,0.284,-0.06599999999999998,0.214,0.254,-0.04000000000000001,"1.53","2.67","-1.136"
"Iglesias, Raisel","628452","2023","231","148",0.238,0.224,0.013999999999999985,0.379,0.372,0.007000000000000006,0.285,0.276,0.008999999999999952,"2.75","3.16","-0.411"
"Hader, Josh","623352","2023","231","113",0.163,0.156,0.007000000000000006,0.224,0.229,-0.0050000000000000044,0.239,0.238,0.0010000000000000009,"1.28","2.34","-1.062"
"Loup, Aaron","571901","2023","231","164",0.313,0.263,0.04999999999999999,0.462,0.42,0.04200000000000004,0.358,0.322,0.035999999999999976,"6.10","4.39","1.713"
"Shuster, Jared","694363","2023","230","173",0.264,0.27,-0.006000000000000005,0.438,0.446,-0.008000000000000007,0.341,0.354,-0.012999999999999956,"5.81","5.44","0.37"
"Gallegos, Giovanny","606149","2023","229","158",0.252,0.251,0.0010000000000000009,0.467,0.447,0.020000000000000018,0.322,0.314,0.008000000000000007,"4.42","4.16","0.258"
"Soriano, George","666277","2023","228","148",0.234,0.25,-0.015999999999999986,0.371,0.399,-0.028000000000000025,0.308,0.325,-0.017000000000000015,"3.81","4.48","-0.672"
"Peralta, Wandy","593974","2023","227","140",0.19,0.239,-0.04899999999999999,0.323,0.375,-0.05199999999999999,0.293,0.331,-0.038000000000000034,"2.83","4.67","-1.837"
"Smith, Will","519293","2023","226","154",0.211,0.23,-0.019000000000000017,0.344,0.379,-0.03500000000000003,0.262,0.284,-0.021999999999999964,"4.39","3.35","1.045"
"Blanco, Ronel","669854","2023","226","144",0.251,0.245,0.006000000000000005,0.462,0.445,0.017000000000000015,0.352,0.345,0.007000000000000006,"4.50","5.13","-0.63"
"Chafin, Andrew","605177","2023","224","132",0.231,0.231,0,0.41,0.396,0.013999999999999957,0.324,0.321,0.0030000000000000027,"4.73","4.36","0.374"
"Ryu, Hyun Jin","547943","2023","224","171",0.257,0.25,0.007000000000000006,0.447,0.388,0.059,0.323,0.303,0.020000000000000018,"3.46","3.85","-0.388"
