"bpid","mlbid","Name","Age","Season","Team","G","GS","CG","IP","W","L","SV","BS","HLD","ERA","R","ER","1B","2B","3B","HR","TB","BB","K","HBP","TBF","Pitches"
109417,669358,"Shane Baz",25,2024,"TB",14,14,0,79.3,4,3,0,0,0,3.06,28,27,41,7,0,9,91,27,69,4,319,1206
111112,669022,"MacKenzie Gore",25,2024,"WSH",32,32,0,166.3,10,12,0,0,0,3.9,93,72,117,36,3,15,258,65,181,11,731,2994
111327,671096,"Andrew Abbott",25,2024,"CIN",25,25,0,138,10,10,0,0,0,3.72,60,57,73,28,1,25,232,52,114,2,586,2333
111773,671106,"Logan Allen",25,2024,"CLE",20,20,0,97.3,8,5,0,0,0,5.73,63,62,62,26,3,22,211,41,79,4,432,1664
113331,678394,"Brayan Bello",25,2024,"BOS",30,30,0,162.3,14,8,0,0,0,4.49,84,81,107,31,0,19,245,64,153,11,702,2710
113630,676440,"Tanner Bibee",25,2024,"CLE",31,31,0,173.7,12,8,0,0,0,3.47,70,67,84,40,4,22,264,44,187,8,710,2851
115926,677944,"Slade Cecconi",25,2024,"AZ",20,13,0,77,2,7,0,0,0,6.66,57,57,52,23,1,16,165,17,64,4,338,1294
117185,676979,"Garrett Crochet",25,2024,"CWS",32,32,0,146,6,12,0,0,0,3.58,61,58,78,25,2,18,206,33,209,5,595,2383
129452,682243,"Bryce Miller",25,2024,"SEA",31,31,0,180.3,12,8,0,0,0,2.94,62,59,84,25,1,21,221,45,171,3,704,2749
131491,682847,"Luis L. Ortiz",25,2024,"PIT",37,15,0,135.7,7,6,1,2,1,3.32,56,50,68,21,4,16,186,42,107,9,556,2143
131748,669467,"Andre Pallante",25,2024,"STL",29,20,0,121.3,8,8,0,0,1,3.78,55,51,81,21,0,8,155,48,94,2,509,1937
137126,671922,"Cade Smith",25,2024,"CLE",74,0,0,75.3,6,1,1,2,28,1.91,16,16,30,19,1,1,75,17,103,3,289,1165
139775,681190,"Randy Vásquez",25,2024,"SD",20,20,0,98,4,7,0,0,0,4.87,56,53,81,23,2,13,185,29,62,6,431,1687
143774,686613,"Hunter Brown",25,2024,"HOU",31,30,0,170,11,9,0,0,0,3.49,71,66,120,16,2,18,230,60,179,5,712,2888
147896,808967,"Yoshinobu Yamamoto",25,2024,"LAD",18,18,0,90,7,2,0,0,0,3,32,30,48,21,2,7,124,22,105,1,368,1469
148632,694297,"Brandon Pfaadt",25,2024,"AZ",32,32,0,181.7,11,10,0,0,0,4.71,103,95,122,31,6,24,298,42,185,4,760,2793
148638,694363,"Jared Shuster",25,2024,"CWS",39,4,0,73.3,2,5,0,2,3,4.3,38,35,51,13,1,9,116,33,56,0,321,1287
148650,694813,"Gavin Stone",25,2024,"LAD",25,25,1,140.3,11,5,0,0,0,3.53,55,55,88,25,2,18,216,37,116,2,580,2152
151615,695243,"Mason Miller",25,2024,"OAK",55,0,0,65,2,2,28,3,0,2.49,23,18,25,5,0,6,59,21,104,1,249,1024
105737,661403,"Emmanuel Clase",26,2024,"CLE",74,0,0,74.3,4,2,47,3,0,0.61,10,5,31,6,0,2,51,10,66,2,270,983
106040,661563,"Luis Gil",26,2024,"NYY",29,29,0,151.7,15,7,0,0,0,3.5,60,59,56,28,2,18,190,77,171,8,637,2661
106940,647336,"Michael Soroka",26,2024,"CWS",25,9,0,79.7,0,10,0,1,2,4.74,49,42,40,9,4,13,122,44,84,3,347,1438
107172,663474,"Triston McKenzie",26,2024,"CLE",16,16,0,75.7,3,5,0,0,0,5.11,46,43,39,10,1,19,138,49,74,1,340,1304
107428,665871,"Javier Assad",26,2024,"CHC",29,29,0,147,7,6,0,0,0,3.73,64,61,91,30,2,20,237,63,124,5,638,2538
107559,665795,"Edward Cabrera",26,2024,"MIA",20,20,0,96.3,4,8,0,0,0,4.95,60,53,54,12,1,15,141,49,107,5,417,1732
108756,666214,"Joey Wentz",26,2024,,46,0,0,67.3,1,2,1,0,2,4.68,37,35,49,9,0,8,99,33,73,4,304,1224
109108,669060,"Bryse Wilson",26,2024,"MIL",34,9,0,104.7,5,4,0,0,0,4.04,49,47,71,9,2,20,175,31,82,4,442,1642
109131,666142,"Cole Ragans",26,2024,"KC",32,32,1,186.3,11,9,0,0,0,3.14,71,65,96,32,3,15,229,67,223,6,762,3118
109135,666200,"Jesús Luzardo",26,2024,"MIA",12,12,0,66.7,3,6,0,0,0,5,37,37,39,12,1,9,102,22,58,2,274,1083
109278,670174,"Josh Winckowski",26,2024,"BOS",40,6,0,76,4,2,2,1,4,4.14,44,35,56,15,0,10,126,26,60,4,336,1240
109526,676130,"José Buttó",26,2024,"NYM",30,7,0,74,7,3,3,3,4,2.55,21,21,26,9,0,6,68,38,79,5,294,1222
111286,669432,"Trevor Rogers",26,2024,,25,25,0,124.3,2,11,0,0,0,4.92,74,68,86,37,3,14,225,56,97,4,562,2220
112439,668933,"Graham Ashcraft",26,2024,"CIN",15,15,0,77.3,5,5,0,0,0,5.24,50,45,63,15,0,11,137,27,57,6,350,1342
114186,674003,"Cody Bradford",26,2024,"TEX",14,13,0,76.3,6,3,0,0,0,3.54,32,30,41,9,4,10,111,13,70,1,308,1175
119949,681676,"Ryan Fernandez",26,2024,"STL",62,0,0,66.7,1,6,2,3,12,3.51,30,26,43,8,3,4,84,32,71,2,285,1190
125609,669923,"George Kirby",26,2024,"SEA",33,33,0,191,14,11,0,0,0,3.53,82,75,118,38,3,22,291,23,179,7,778,2966
126846,666157,"Nick Lodolo",26,2024,"CIN",21,21,0,115.3,9,6,0,0,0,4.76,62,61,62,26,0,13,166,37,122,18,493,1864
127779,679525,"Alec Marsh",26,2024,"KC",26,25,0,129,9,9,0,0,0,4.53,70,65,73,28,3,19,214,39,123,11,548,2161
129469,669062,"Erik Miller",26,2024,"SF",73,10,0,67.3,4,5,0,3,14,3.88,33,29,32,9,2,7,84,38,87,1,284,1269
130740,669194,"Ryne Nelson",26,2024,"AZ",28,25,0,150.7,10,6,1,0,0,4.24,73,71,93,36,9,17,260,34,126,5,630,2406
135874,663485,"Cole Sands",26,2024,"MIN",62,0,0,71.3,9,1,4,3,5,3.28,30,26,43,10,0,6,87,12,85,6,292,1153
140615,669713,"Hayden Wesneski",26,2024,"CHC",28,7,0,67.7,3,6,0,1,2,3.86,37,29,34,10,0,12,102,21,67,2,283,1075
