Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Jean Segura","SEA",125,566,11,80,45,22,0.060070671,0.146643109,0.127862596,0.338747099,0.29961832,0.348672566,0.427480916,0.3338199305576786,0.31591476358245907,111.4653859839422,2.3216955601237714,10.328329524904296,6.538676500320435,3.541498324608243,"Jean Segura",5933,516416
"Nelson Cruz","SEA",155,645,39,91,119,1,0.108527131,0.217054263,0.260791367,0.315104166,0.287769784,0.375193798,0.548561151,0.38491614961698883,0.4050534426510989,146.41368931688342,-5.665473114699125,31.27059555327807,-17.066689252853394,3.5364492854705736,"Nelson Cruz",2434,443558
"Ryan Zimmerman","WSN",144,576,36,90,108,1,0.076388888,0.21875,0.269083969,0.335149863,0.303435114,0.357638888,0.572519083,0.3874856169327446,0.37904153743260344,136.55009457754403,1.4185810424387455,28.477346560935516,-13.144027471542358,3.495663535244159,"Ryan Zimmerman",4220,475582
"Justin Smoak","TOR",158,637,38,85,90,0,0.114599686,0.200941915,0.258928571,0.285353535,0.269642857,0.354788069,0.528571428,0.3710394076744465,0.3902544884165381,133.3415950858985,-3.3110106852836907,22.89317503104405,-8.939783573150635,3.4851873140780425,"Justin Smoak",9054,475253
"DJ LeMahieu","COL",155,682,8,95,64,6,0.086510263,0.131964809,0.098522168,0.350775193,0.310344827,0.374079528,0.408866995,0.34174231776094016,0.3413910724707609,94.48249909097458,-2.300226609688252,-7.136644052008323,17.646642446517944,3.3780749899508047,"DJ LeMahieu",9874,518934
"Whit Merrifield","KCR",145,630,19,80,78,34,0.046031746,0.139682539,0.172061329,0.308008213,0.287904599,0.324324324,0.459965928,0.3322406490770167,0.32671055947580646,104.63419417614008,5.292511745821685,8.894643882816117,3.569382667541504,3.3139180785077187,"Whit Merrifield",11281,593160
"Xander Bogaerts","BOS",148,635,10,94,62,15,0.088188976,0.182677165,0.129597198,0.326621923,0.273204903,0.343307086,0.402802101,0.3214731288448995,0.28649327092277355,94.68750872047538,8.149298975244164,3.987157685089027,7.81483519077301,3.2644838807292818,"Xander Bogaerts",12161,593428
"Domingo Santana","MIL",151,607,30,88,85,15,0.120263591,0.293245469,0.226666666,0.3625,0.278095238,0.370675453,0.504761904,0.37179822675452745,0.3551449949955227,127.32917742089927,0.9296682272106409,22.250897579284853,-10.66321086883545,3.2288762298344897,"Domingo Santana",10348,570267
"Javier Báez","CHC",145,508,23,75,75,10,0.059055118,0.283464566,0.206823028,0.345394736,0.272921108,0.316733067,0.479744136,0.32564273042110936,0.2905671931495351,98.3189598818262,2.9075590795837343,1.8099725180504267,12.16383409500122,3.127834741507634,"Javier Baez",12979,595879
"Todd Frazier","- - -",147,576,27,74,76,4,0.144097222,0.217013888,0.215189874,0.226299694,0.213080168,0.34375,0.428270042,0.33451137112823515,0.35489173528400697,109.4399969830219,-0.9910175609402359,5.717695273777358,5.794546216726303,3.041468772814462,"Todd Frazier",785,453943
