"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","R","HR","RBI","SB","BB%","K%","ISO","AVG","OBP","SLG","OPS","DRC+","DRB","DRP","WARP"
108947,666134,"Nolan Jones",25,2023,"COL",105,424,367,60,20,62,20,12.5,29.7,0.245,0.297,0.389,0.542,0.931,125,,-0.7,2.6
109122,669016,"Brandon Marsh",25,2023,"PHI",131,472,404,58,12,60,10,12.5,30.5,0.181,0.277,0.372,0.458,0.83,101,,-1.3,1.8
110664,673357,"Luis Robert Jr.",25,2023,"CWS",145,595,546,90,38,80,20,5,28.9,0.278,0.264,0.315,0.542,0.857,123,,-4.2,3.4
115478,681481,"Kerry Carpenter",25,2023,"DET",118,459,418,57,20,64,6,7,25.1,0.194,0.278,0.34,0.471,0.811,99,,0.7,1.5
126005,680757,"Steven Kwan",25,2023,"CLE",157,718,638,93,5,54,21,9.7,10.4,0.102,0.268,0.34,0.37,0.71,98,,7.6,3.1
126172,669127,"Shea Langeliers",25,2023,"OAK",132,490,448,52,22,63,3,6.9,29.2,0.208,0.205,0.268,0.413,0.681,92,,-9.6,0.5
130939,663457,"Lars Nootbaar",25,2023,"STL",116,503,426,74,14,46,11,14.3,19.7,0.157,0.261,0.367,0.418,0.785,118,,1.8,3.2
132232,665161,"Jeremy Peña",25,2023,"HOU",149,634,577,81,10,52,13,6.8,20.3,0.118,0.263,0.324,0.381,0.705,94,,0.4,1.7
135527,668939,"Adley Rutschman",25,2023,"BAL",154,687,588,84,20,80,1,13.4,14.7,0.158,0.277,0.374,0.435,0.809,125,,12.2,6.2
137710,668715,"Spencer Steer",25,2023,"CIN",156,665,582,74,23,86,15,10.2,20.9,0.192,0.271,0.356,0.464,0.82,110,,-2.8,2.5
137906,681082,"Bryson Stott",25,2023,"PHI",151,640,585,78,15,62,31,6.1,15.6,0.138,0.28,0.329,0.419,0.748,93,,4.7,1.9
142220,673962,"Josh Jung",25,2023,"TEX",122,515,478,75,23,70,1,5.8,29.3,0.201,0.266,0.315,0.467,0.782,104,,4.6,2.5
142821,683734,"Andrew Vaughn",25,2023,"CWS",152,615,566,67,21,80,0,5.9,21,0.171,0.258,0.314,0.429,0.743,111,,0.1,2.3
143845,686668,"Brenton Doyle",25,2023,"COL",122,431,399,48,10,48,22,5.1,35,0.14,0.203,0.25,0.343,0.593,72,,4.4,0.7
143892,686681,"Michael Massey",25,2023,"KC",128,461,428,42,15,55,6,5.2,21.5,0.152,0.229,0.274,0.381,0.655,86,,-1.3,0.9
144013,686823,"Will Brennan",25,2023,"CLE",134,455,432,41,5,41,13,3.5,12.5,0.09,0.266,0.299,0.356,0.655,83,,1.8,0.6
104004,645277,"Ozzie Albies",26,2023,"ATL",148,660,596,96,33,109,13,7,16.2,0.233,0.28,0.336,0.513,0.849,108,,-0.4,3.2
104042,646240,"Rafael Devers",26,2023,"BOS",153,656,580,90,33,100,5,9.5,19.2,0.229,0.271,0.351,0.5,0.851,131,,-1.9,4.5
104123,650333,"Luis Arraez",26,2023,"MIA",147,617,574,71,10,69,3,5.7,5.5,0.115,0.354,0.393,0.469,0.862,118,,2.2,3.7
104176,650391,"Eloy Jiménez",26,2023,"CWS",120,489,456,50,18,64,0,6.1,19,0.169,0.272,0.317,0.441,0.758,111,,-0.4,1.7
104180,650402,"Gleyber Torres",26,2023,"NYY",158,672,596,90,25,68,13,10,14.6,0.18,0.273,0.347,0.453,0.8,117,,-2.1,4
104205,650489,"Willi Castro",26,2023,"MIN",119,409,358,60,9,34,33,8.3,24.2,0.154,0.257,0.339,0.411,0.75,99,,0.6,1.6
104261,650559,"Bryan De La Cruz",26,2023,"MIA",152,626,579,60,19,78,4,6.4,22.7,0.154,0.257,0.304,0.411,0.715,93,,-4,1
104450,650859,"Luis Rengifo",26,2023,"LAA",123,445,394,55,16,51,6,9.2,18.4,0.18,0.264,0.339,0.444,0.783,110,,-0.7,2.2
