Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Ronny Mauricio","NYM","AAA",22,116,490,532,143,87,30,3,23,76,71,35,3,97,6,1,0,9,24,7,0.291836734,"23698"
"Wilyer Abreu","BOS","AAA",24,86,299,363,82,48,11,1,22,67,65,59,1,74,1,4,0,3,8,1,0.274247491,"23772"
"Leo Jimenez","TOR","AAA",22,18,63,77,12,9,3,0,0,8,3,9,0,15,5,0,0,3,0,0,0.19047619,"23782"
"Jordyn Adams","LAA","AAA",23,109,415,480,111,65,25,6,15,74,67,53,0,133,4,6,2,5,44,5,0.267469879,"23788"
"Blaze Alexander","ARI","AAA",24,73,247,305,72,49,13,2,8,45,52,42,0,83,10,5,1,5,2,2,0.291497975,"23789"
"Alek Thomas","ARI","AAA",23,26,112,128,39,28,6,2,3,24,31,12,1,20,1,2,1,2,2,0,0.348214285,"23792"
"Jordan Groshans","MIA","AAA",23,125,460,528,112,85,20,1,6,60,60,66,1,92,1,1,0,10,0,0,0.24347826,"23794"
"Parker Meadows","DET","AAA",23,113,449,517,115,62,27,7,19,78,65,57,0,123,2,8,1,3,19,2,0.256124721,"23800"
"Jorbit Vivas","LAD","AAA",22,26,102,121,23,19,2,1,1,16,9,15,0,19,3,1,0,4,4,1,0.225490196,"23917"
"Jorge Barrosa","ARI","AAA",22,120,412,502,113,72,20,8,13,91,65,80,0,82,3,3,4,9,15,7,0.274271844,"23968"
"Osleivis Basabe","TBR","AAA",22,94,385,426,114,79,24,7,4,45,58,31,0,66,4,5,1,11,16,6,0.296103896,"23985"
"Curtis Mead","TBR","AAA",22,61,235,278,69,37,21,2,9,41,45,35,1,48,3,5,0,3,4,2,0.293617021,"23986"
"Jhonkensy Noel","CLE","AAA",21,138,519,585,114,64,23,0,27,81,85,49,0,145,14,3,0,10,1,3,0.219653179,"24257"
"Ceddanne Rafaela","BOS","AAA",22,48,199,219,62,32,13,3,14,40,42,12,0,48,7,1,0,5,6,5,0.311557788,"24262"
"Jose Rodriguez","CHW","AAA",22,19,87,89,22,17,2,0,3,11,8,2,0,13,0,0,0,0,3,3,0.252873563,"24388"
"Terrin Vavra","BAL","AAA",26,14,63,68,21,14,4,1,2,12,9,3,0,13,2,0,0,2,2,1,0.333333333,"24400"
"J.P. Martinez","TEX","AAA",27,77,289,353,86,47,21,4,14,54,59,55,0,81,6,2,1,3,38,4,0.297577854,"24451"
"Max Schuemann","OAK","AAA",26,103,350,433,97,66,18,4,9,88,43,62,1,87,14,4,3,7,20,9,0.277142857,"24488"
"Travis Swaggerty","PIT","AAA",25,17,65,72,13,6,4,2,1,13,5,5,0,19,2,0,0,3,3,1,0.2,"24491"
"DaShawn Keirsey Jr.","MIN","AAA",26,39,129,152,34,28,1,3,2,20,13,19,1,31,4,0,0,2,8,0,0.263565891,"24496"
"Richie Palacios","CLE","AAA",26,96,374,464,94,63,23,0,8,76,59,73,0,61,8,7,2,6,9,6,0.251336898,"24589"
"Jonathan Ornelas","TEX","AAA",23,114,434,517,110,82,18,2,8,78,52,74,0,121,6,2,1,10,15,1,0.253456221,"24597"
"Addison Barger","TOR","AAA",23,88,340,397,85,51,25,0,9,53,46,52,1,86,3,2,0,11,5,3,0.25,"24598"
"Michael Helman","MIN","AAA",27,27,108,118,32,18,7,1,6,22,31,7,0,16,3,0,0,2,5,1,0.296296296,"24605"
