Name,Team,Pos,G,GS,Inn,Throwing,Blocking,Framing,Arm,Range,FRV,NameASCII,PlayerId,MLBAMID
"Ketel Marte","ARI","SS",64,57,507.2,,,,0,2,1,"Ketel Marte",13613,606466
"Jacob Stallings","PIT","C",5,3,33.1,1,0,0,,,1,"Jacob Stallings",13723,607732
"Chris Taylor","LAD","CF",49,47,395,,,,2,0,1,"Chris Taylor",13757,621035
"Matt Reynolds","NYM","2B",8,3,28.2,,,,0,1,1,"Matt Reynolds",13788,608703
"Matt Reynolds","NYM","3B",23,10,110,,,,0,1,1,"Matt Reynolds",13788,608703
"Bruce Maxwell","OAK","C",74,62,563.1,1,0,0,,,1,"Bruce Maxwell",13866,622194
"Alex D. Mejia","STL","2B",7,3,30,,,,0,1,1,"Alex D. Mejia",13877,622270
"Alex D. Mejia","STL","3B",13,4,62,,,,0,1,1,"Alex D. Mejia",13877,622270
"Patrick Kivlehan","CIN","3B",7,5,47.2,,,,0,1,1,"Patrick Kivlehan",13910,623182
"Ramón Torres","KCR","2B",20,11,110,,,,0,1,1,"Ramon Torres",14113,593527
"Ramón Torres","KCR","3B",12,6,62.2,,,,0,1,1,"Ramon Torres",14113,593527
"Joey Gallo","TEX","LF",18,17,145.2,,,,0,0,1,"Joey Gallo",14128,608336
"Daniel Robertson","TBR","SS",24,18,160,,,,0,1,1,"Daniel Robertson",14145,621002
"Jorge Soler","KCR","LF",7,3,35,,,,1,0,1,"Jorge Soler",14221,624585
"Yasiel Puig","LAD","RF",145,135,1201.2,,,,3,-2,1,"Yasiel Puig",14225,624577
"Wilmer Difo","WSN","3B",6,6,51.2,,,,0,1,1,"Wilmer Difo",14320,594694
"Matt Olson","OAK","RF",12,10,91,,,,1,0,1,"Matt Olson",14344,621566
"Lewis Brinson","MIL","CF",8,7,61.1,,,,0,1,1,"Lewis Brinson",14352,621446
"Max Moroff","PIT","3B",6,3,31.2,,,,0,1,1,"Max Moroff",14556,621559
"Tzu-Wei Lin","BOS","2B",10,3,44,,,,0,0,1,"Tzu-Wei Lin",14678,624407
"Pat Valaika","COL","2B",8,3,32.2,,,,0,1,1,"Pat Valaika",14885,642162
"Pat Valaika","COL","SS",22,16,133.2,,,,1,0,1,"Pat Valaika",14885,642162
"Jaycob Brugman","OAK","LF",4,3,26,,,,0,1,1,"Jaycob Brugman",14936,595144
"Johan Camargo","ATL","2B",9,6,57,,,,0,1,1,"Johan Camargo",14950,622666
"Adam Frazier","PIT","LF",52,44,400.1,,,,-1,2,1,"Adam Frazier",15223,624428
"J.P. Crawford","PHI","2B",4,4,32.1,,,,0,1,1,"J.P. Crawford",15491,641487
"Allen Córdoba","SDP","LF",43,24,237.1,,,,1,0,1,"Allen Cordoba",15722,642707
"Ryder Jones","SFG","3B",18,13,119,,,,0,1,1,"Ryder Jones",15982,624507
"Cody Bellinger","LAD","CF",4,3,27,,,,1,0,1,"Cody Bellinger",15998,641355
"Cody Bellinger","LAD","LF",39,37,313.1,,,,-1,2,1,"Cody Bellinger",15998,641355
"Cody Bellinger","LAD","RF",5,3,25.2,,,,0,1,1,"Cody Bellinger",15998,641355
"Derek Fisher","HOU","CF",3,2,18,,,,0,1,1,"Derek Fisher",16192,605233
"Derek Fisher","HOU","RF",12,7,75,,,,0,1,1,"Derek Fisher",16192,605233
"Michael Conforto","NYM","CF",43,39,328.2,,,,0,0,1,"Michael Conforto",16376,624424
"Rhys Hoskins","PHI","1B",27,21,203.1,,,,0,0,1,"Rhys Hoskins",16472,656555
"Ozzie Albies","ATL","2B",57,57,497.1,,,,0,0,1,"Ozzie Albies",16556,645277
"Greg Allen","CLE","CF",21,5,95,,,,0,1,1,"Greg Allen",16623,656185
"Miguel Gómez","SFG","2B",6,5,37,,,,0,0,1,"Miguel Gomez",17075,622497
"Andrew Stevenson","WSN","RF",14,9,91,,,,0,1,1,"Andrew Stevenson",17932,664057
"Harrison Bader","STL","CF",20,17,151.2,,,,0,1,1,"Harrison Bader",18030,664056
"Guillermo Heredia","SEA","RF",1,1,8,,,,1,0,1,"Guillermo Heredia",18721,628338
"Jae-Gyun Hwang","SFG","3B",15,13,105,,,,0,1,1,"Jae-Gyun Hwang",19369,666561
"Carlos Beltrán","HOU","LF",13,11,86,,,,-1,0,0,"Carlos Beltran",589,136860
"Carlos Beltrán","HOU","RF",1,1,6,,,,0,0,0,"Carlos Beltran",589,136860
"Todd Frazier","CHW","1B",4,1,17,,,,0,0,0,"Todd Frazier",785,453943
"Andrew Romine","DET","1B",22,4,65,,,,0,0,0,"Andrew Romine",1159,461865
"Andrew Romine","DET","CF",24,20,179.1,,,,1,-1,0,"Andrew Romine",1159,461865
"Andrew Romine","DET","LF",18,15,126.2,,,,1,-1,0,"Andrew Romine",1159,461865
"Andrew Romine","DET","RF",11,9,76,,,,0,0,0,"Andrew Romine",1159,461865
"Albert Pujols","LAA","1B",6,6,50,,,,0,0,0,"Albert Pujols",1177,405395
"José Reyes","NYM","3B",36,31,279,,,,0,0,0,"Jose Reyes",1736,408314
"Jhonny Peralta","STL","3B",15,14,114,,,,0,0,0,"Jhonny Peralta",1738,425509
"Rickie Weeks Jr.","TBR","1B",12,12,90.1,,,,0,1,0,"Rickie Weeks Jr.",1849,430001
"Andrés Blanco","PHI","1B",11,0,24,,,,0,0,0,"Andres Blanco",1907,433217
"Andrés Blanco","PHI","SS",4,0,9.2,,,,0,0,0,"Andres Blanco",1907,433217
"Zack Greinke","ARI","P",32,32,202.1,,,,0,,0,"Zack Greinke",1943,425844
"Edwin Encarnación","CLE","1B",23,23,198,,,,0,1,0,"Edwin Encarnacion",2151,429665
"Carlos Santana","CLE","RF",7,7,53,,,,0,0,0,"Carlos Santana",2396,467793
"Darwin Barney","TOR","LF",4,1,13,,,,0,0,0,"Darwin Barney",2430,446381
"Pedro Alvarez","BAL","1B",2,1,9,,,,0,0,0,"Pedro Alvarez",2495,476883
"Pete Kozma","TEX","1B",4,0,5,,,,0,0,0,"Pete Kozma",2539,518902
"Rick Porcello","BOS","P",33,33,203.1,,,,0,,0,"Rick Porcello",2717,519144
"Chris Marrero","SFG","LF",12,9,73,,,,-1,1,0,"Chris Marrero",2852,502029
"Tommy Pham","STL","RF",1,1,9,,,,0,0,0,"Tommy Pham",2967,502054
"Michael Morse","SFG","1B",10,7,43.2,,,,0,0,0,"Michael Morse",3035,434604
"Grégor Blanco","ARI","LF",44,18,212.1,,,,0,0,0,"Gregor Blanco",3123,453923
"Grégor Blanco","ARI","RF",6,2,24,,,,0,1,0,"Gregor Blanco",3123,453923
"Charlie Culberson","LAD","2B",2,1,10,,,,0,0,0,"Charlie Culberson",3298,518586
"Charlie Culberson","LAD","SS",11,1,34,,,,0,0,0,"Charlie Culberson",3298,518586
"Matt Joyce","OAK","CF",1,1,8.1,,,,0,0,0,"Matt Joyce",3353,459964
"Alejandro De Aza","WSN","CF",1,1,7,,,,0,0,0,"Alejandro De Aza",3371,457477
"Alejandro De Aza","WSN","RF",14,6,61,,,,0,-1,0,"Alejandro De Aza",3371,457477
"Nick Hundley","SFG","C",82,65,608.1,0,0,0,,,0,"Nick Hundley",3376,460026
"Cliff Pennington","LAA","2B",47,35,309.2,,,,0,-1,0,"Cliff Pennington",3395,460060
"Drew Butera","KCR","1B",4,0,10,,,,0,0,0,"Drew Butera",3411,460077
"Anthony Rizzo","CHC","2B",10,0,4.1,,,,0,0,0,"Anthony Rizzo",3473,519203
"Troy Tulowitzki","TOR","SS",64,64,562,,,,1,-1,0,"Troy Tulowitzki",3531,453064
"Rajai Davis","- - -","LF",25,13,124.2,,,,0,0,0,"Rajai Davis",3708,434658
"Eric Thames","MIL","RF",5,3,27.2,,,,0,0,0,"Eric Thames",3711,519346
"Josh Reddick","HOU","LF",48,20,231.1,,,,0,0,0,"Josh Reddick",3892,502210
"Chris Heisey","WSN","LF",19,9,108,,,,0,0,0,"Chris Heisey",3978,502317
"Chris Heisey","WSN","RF",5,3,25.2,,,,0,0,0,"Chris Heisey",3978,502317
"Emilio Bonifácio","ATL","RF",2,1,11,,,,0,0,0,"Emilio Bonifacio",4054,466988
"Anthony Recker","ATL","C",4,1,13,0,0,0,,,0,"Anthony Recker",4063,489232
"Gorkys Hernández","SFG","LF",57,31,325,,,,-2,2,0,"Gorkys Hernandez",4146,491676
"Howie Kendrick","- - -","2B",15,15,129,,,,0,0,0,"Howie Kendrick",4229,435062
"Howie Kendrick","WSN","RF",3,3,22,,,,0,0,0,"Howie Kendrick",4229,435062
"Stephen Drew","WSN","2B",2,2,17,,,,0,0,0,"Stephen Drew",4251,452220
"Matt Wieters","WSN","C",118,113,1003.2,0,0,0,,,0,"Matt Wieters",4298,446308
"Joey Votto","CIN","1B",162,162,1391.2,,,,0,0,0,"Joey Votto",4314,458015
"Scott Van Slyke","LAD","CF",1,0,1,,,,0,0,0,"Scott Van Slyke",4365,475100
"Scott Van Slyke","LAD","LF",11,2,38,,,,0,0,0,"Scott Van Slyke",4365,475100
"Erik Kratz","NYY","C",2,0,2,0,0,0,,,0,"Erik Kratz",4403,456124
"Jed Lowrie","OAK","3B",1,0,3,,,,0,0,0,"Jed Lowrie",4418,476704
"Brandon Moss","KCR","1B",14,5,61.2,,,,0,0,0,"Brandon Moss",4467,461235
"Brandon Moss","KCR","LF",5,3,29,,,,0,0,0,"Brandon Moss",4467,461235
"Brandon Moss","KCR","RF",2,1,14,,,,0,0,0,"Brandon Moss",4467,461235
"Jordan Zimmermann","DET","P",29,29,160,,,,0,,0,"Jordan Zimmermann",4505,519455
"Russell Martin","TOR","3B",10,9,77,,,,0,0,0,"Russell Martin",4616,431145
"Rymer Liriano","CHW","LF",12,10,86,,,,0,1,0,"Rymer Liriano",4779,542642
"Rymer Liriano","CHW","RF",7,0,14,,,,0,0,0,"Rymer Liriano",4779,542642
"Jason Heyward","CHC","CF",13,12,89.1,,,,0,-1,0,"Jason Heyward",4940,518792
"Asdrúbal Cabrera","NYM","2B",32,32,274.1,,,,0,0,0,"Asdrubal Cabrera",4962,452678
"Luis Valbuena","LAA","1B",48,40,363.1,,,,0,-1,0,"Luis Valbuena",4969,472528
"Luis Valbuena","LAA","3B",59,53,455.1,,,,0,0,0,"Luis Valbuena",4969,472528
"Josh Donaldson","TOR","3B",105,103,921,,,,0,1,0,"Josh Donaldson",5038,518626
"Josh Donaldson","TOR","SS",4,2,18,,,,0,0,0,"Josh Donaldson",5038,518626
"Jefry Marte","LAA","LF",3,1,14,,,,0,0,0,"Jefry Marte",5107,527043
"Alex Gordon","KCR","RF",1,1,9,,,,0,-1,0,"Alex Gordon",5209,460086
"Jon Jay","CHC","RF",19,11,110,,,,0,0,0,"Jon Jay",5227,445055
"Tuffy Gosewisch","SEA","C",10,8,76,0,0,0,,,0,"Tuffy Gosewisch",5277,488912
"Aaron Hicks","NYY","RF",14,10,102,,,,0,0,0,"Aaron Hicks",5297,543305
"Alex Presley","DET","LF",13,10,95,,,,0,0,0,"Alex Presley",5305,502100
"Kristopher Negrón","ARI","1B",2,1,8,,,,0,0,0,"Kristopher Negron",5306,502117
"Kristopher Negrón","ARI","LF",5,2,21,,,,0,0,0,"Kristopher Negron",5306,502117
"Chad Huffman","STL","RF",1,1,8,,,,0,0,0,"Chad Huffman",5311,502151
"Yangervis Solarte","SDP","1B",8,4,41.1,,,,0,0,0,"Yangervis Solarte",5352,500208
"Jake Smolinski","OAK","LF",1,0,2,,,,0,0,0,"Jake Smolinski",5408,519295
"Jake Smolinski","OAK","RF",1,0,3,,,,0,0,0,"Jake Smolinski",5408,519295
"Pablo Sandoval","SFG","1B",9,6,59.1,,,,0,0,0,"Pablo Sandoval",5409,467055
"Steve Lombardozzi","MIA","2B",2,2,15.1,,,,0,0,0,"Steve Lombardozzi",5422,543459
"Daniel Nava","PHI","1B",4,1,14.2,,,,0,0,0,"Daniel Nava",5450,537953
"Daniel Nava","PHI","LF",42,32,292.2,,,,-1,1,0,"Daniel Nava",5450,537953
"Daniel Nava","PHI","RF",9,5,40.2,,,,0,0,0,"Daniel Nava",5450,537953
"José Pirela","SDP","2B",7,4,39,,,,0,0,0,"Jose Pirela",5485,517369
"José Pirela","SDP","3B",1,1,6,,,,0,0,0,"Jose Pirela",5485,517369
"José Pirela","SDP","RF",4,4,33,,,,0,0,0,"Jose Pirela",5485,517369
"Abraham Almonte","CLE","CF",8,8,55,,,,0,0,0,"Abraham Almonte",5486,501659
"Austin Romine","NYY","1B",12,4,53.2,,,,0,0,0,"Austin Romine",5491,519222
"Marwin Gonzalez","HOU","2B",22,14,136.2,,,,0,0,0,"Marwin Gonzalez",5497,503556
"Marwin Gonzalez","HOU","LF",47,38,331,,,,0,0,0,"Marwin Gonzalez",5497,503556
"Marwin Gonzalez","HOU","RF",2,0,4,,,,0,0,0,"Marwin Gonzalez",5497,503556
"Kyle Higashioka","NYY","C",8,5,48,0,0,0,,,0,"Kyle Higashioka",5517,543309
"Rubén Tejada","BAL","3B",6,3,31,,,,0,0,0,"Ruben Tejada",5519,514913
"Rubén Tejada","BAL","SS",36,29,262,,,,0,1,0,"Ruben Tejada",5519,514913
"Steven Souza Jr.","TBR","CF",3,2,15,,,,0,0,0,"Steven Souza Jr.",5667,519306
"A.J. Ellis","MIA","C",39,36,329,0,0,0,,,0,"A.J. Ellis",5677,454560
"Hernán Pérez","MIL","CF",18,10,93.2,,,,0,0,0,"Hernan Perez",5751,541650
"Hernán Pérez","MIL","SS",7,5,44.2,,,,0,1,0,"Hernan Perez",5751,541650
"Wilmer Flores","NYM","1B",29,20,178.1,,,,0,0,0,"Wilmer Flores",5827,527038
"Wilmer Flores","NYM","2B",12,10,91,,,,0,0,0,"Wilmer Flores",5827,527038
"John Jaso","PIT","LF",17,12,107,,,,1,0,0,"John Jaso",5887,444379
"Leury García","CHW","2B",3,2,13,,,,0,0,0,"Leury Garcia",5913,544725
"Leury García","CHW","SS",2,2,19,,,,0,0,0,"Leury Garcia",5913,544725
"Jesús Sucre","TBR","C",61,51,463.1,0,0,0,,,0,"Jesus Sucre",5942,491696
"Mike Aviles","MIA","3B",6,4,36.2,,,,0,0,0,"Mike Aviles",5986,449107
"Cristhian Adames","COL","SS",1,1,7,,,,0,0,0,"Cristhian Adames",6013,542436
"Aaron Hill","SFG","3B",7,6,54,,,,0,0,0,"Aaron Hill",6104,431094
"Eduardo Escobar","MIN","3B",79,77,680,,,,0,-1,0,"Eduardo Escobar",6153,500871
"Eduardo Escobar","MIN","C",1,0,1,0,0,0,,,0,"Eduardo Escobar",6153,500871
"Eduardo Escobar","MIN","LF",2,0,5,,,,0,0,0,"Eduardo Escobar",6153,500871
"Daniel Robertson","CLE","CF",2,1,7,,,,0,1,0,"Daniel Robertson",6266,543706
"Daniel Robertson","CLE","RF",17,13,115,,,,1,-1,0,"Daniel Robertson",6266,543706
"Danny Valencia","SEA","3B",1,1,7,,,,0,0,0,"Danny Valencia",6364,502143
"Kirk Nieuwenhuis","MIL","LF",3,1,11.2,,,,0,0,0,"Kirk Nieuwenhuis",6400,543590
"James Adduci","DET","RF",26,22,194,,,,2,-1,0,"James Adduci",6448,451192
"Alex Cobb","TBR","P",29,29,179.1,,,,0,,0,"Alex Cobb",6562,502171
"Sean Rodríguez","PIT","1B",2,0,3,,,,0,0,0,"Sean Rodriguez",6589,446481
"Sean Rodríguez","- - -","3B",14,9,92.2,,,,0,0,0,"Sean Rodriguez",6589,446481
"Sean Rodríguez","PIT","CF",3,0,8,,,,0,0,0,"Sean Rodriguez",6589,446481
"Freddy Galvis","PHI","CF",1,1,9,,,,0,0,0,"Freddy Galvis",6609,520471
"Chase d'Arnaud","- - -","3B",3,2,13,,,,0,0,0,"Chase d'Arnaud",6652,488818
"Chase d'Arnaud","ATL","LF",4,1,13,,,,0,0,0,"Chase d'Arnaud",6652,488818
"Chase d'Arnaud","SDP","RF",1,0,1.2,,,,0,0,0,"Chase d'Arnaud",6652,488818
"Eduardo Núñez","SFG","RF",2,1,11,,,,0,0,0,"Eduardo Nunez",6848,456488
"Ian Desmond","COL","CF",1,1,9,,,,0,0,0,"Ian Desmond",6885,435622
"Ian Desmond","COL","SS",1,1,5.1,,,,0,0,0,"Ian Desmond",6885,435622
"Will Middlebrooks","TEX","1B",1,1,9,,,,0,0,0,"Will Middlebrooks",7002,519025
"A.J. Jimenez","TEX","C",5,1,20,0,0,0,,,0,"A.J. Jimenez",7077,543362
"Eric Young Jr.","LAA","RF",2,0,3,,,,0,0,0,"Eric Young Jr.",7158,458913
"Logan Forsythe","LAD","3B",42,31,301.2,,,,0,0,0,"Logan Forsythe",7185,523253
"Logan Forsythe","LAD","LF",3,0,6,,,,0,0,0,"Logan Forsythe",7185,523253
"Logan Forsythe","LAD","SS",2,1,2.1,,,,0,0,0,"Logan Forsythe",7185,523253
"César Puello","TBR","RF",2,0,3,,,,0,0,0,"Cesar Puello",7216,527049
"Matt Davidson","CHW","1B",19,18,153.2,,,,0,0,0,"Matt Davidson",7226,571602
"Tyler Moore","MIA","LF",7,3,29.1,,,,0,0,0,"Tyler Moore",7244,489138
"Tyler Moore","MIA","RF",6,1,17,,,,0,0,0,"Tyler Moore",7244,489138
"Chris Gimenez","MIN","1B",7,2,24,,,,0,0,0,"Chris Gimenez",7324,460269
"Chris Gimenez","MIN","3B",1,0,1,,,,0,0,0,"Chris Gimenez",7324,460269
"Chris Gimenez","MIN","LF",5,1,15,,,,0,0,0,"Chris Gimenez",7324,460269
"Seth Smith","BAL","LF",12,10,75,,,,0,0,0,"Seth Smith",7331,452234
"Michael Martinez","- - -","3B",9,0,20,,,,0,0,0,"Michael Martinez",7358,492841
"Michael Martinez","CLE","CF",2,0,8.2,,,,0,0,0,"Michael Martinez",7358,492841
"Michael Martinez","TBR","LF",1,0,1,,,,0,0,0,"Michael Martinez",7358,492841
"Michael Martinez","CLE","SS",1,0,2,,,,0,0,0,"Michael Martinez",7358,492841
"Paul Janish","BAL","SS",14,9,78,,,,0,0,0,"Paul Janish",7412,457926
"Shane Peterson","TBR","LF",15,14,118.2,,,,0,1,0,"Shane Peterson",7423,451089
"Ben Zobrist","CHC","LF",36,13,131.2,,,,-1,1,0,"Ben Zobrist",7435,450314
"Ben Zobrist","CHC","SS",5,0,11,,,,0,0,0,"Ben Zobrist",7435,450314
"Trevor Plouffe","TBR","1B",11,8,76,,,,0,0,0,"Trevor Plouffe",7462,461858
"Carlos Moncrief","SFG","RF",10,6,54,,,,0,0,0,"Carlos Moncrief",7511,519037
"Neil Walker","- - -","1B",17,8,86.1,,,,0,0,0,"Neil Walker",7539,435522
"Lonnie Chisenhall","CLE","1B",7,0,13,,,,0,0,0,"Lonnie Chisenhall",7571,502082
"Lonnie Chisenhall","CLE","CF",19,19,164.1,,,,0,0,0,"Lonnie Chisenhall",7571,502082
"Justin Ruggiano","SFG","CF",2,0,5,,,,0,0,0,"Justin Ruggiano",7620,448605
"Justin Ruggiano","SFG","RF",12,10,99,,,,0,0,0,"Justin Ruggiano",7620,448605
"Travis d'Arnaud","NYM","2B",1,0,3.1,,,,0,0,0,"Travis d'Arnaud",7739,518595
"Ty Kelly","PHI","2B",14,10,95,,,,0,0,0,"Ty Kelly",7740,571841
"Ty Kelly","PHI","3B",4,1,13.1,,,,0,0,0,"Ty Kelly",7740,571841
"Ty Kelly","PHI","RF",3,0,5.2,,,,0,0,0,"Ty Kelly",7740,571841
"Miguel Rojas","MIA","1B",2,0,3.1,,,,0,0,0,"Miguel Rojas",7802,500743
"Miguel Rojas","MIA","2B",2,2,15,,,,0,0,0,"Miguel Rojas",7802,500743
"Miguel Rojas","MIA","3B",15,3,47,,,,0,0,0,"Miguel Rojas",7802,500743
"Jonathan Lucroy","- - -","C",110,108,947.2,0,0,0,,,0,"Jonathan Lucroy",7870,518960
"Ryan Flaherty","BAL","2B",12,2,33,,,,0,0,0,"Ryan Flaherty",7888,475247
"Ryan Flaherty","BAL","RF",1,1,8,,,,0,0,0,"Ryan Flaherty",7888,475247
"Ryan Flaherty","BAL","SS",5,3,29,,,,0,0,0,"Ryan Flaherty",7888,475247
"Eric Sogard","MIL","2B",60,37,364.2,,,,0,1,0,"Eric Sogard",7927,519299
"Eric Sogard","MIL","3B",7,2,28.2,,,,0,0,0,"Eric Sogard",7927,519299
"Eric Sogard","MIL","LF",1,1,8,,,,0,0,0,"Eric Sogard",7927,519299
"Jaff Decker","OAK","CF",12,11,93.2,,,,-1,0,0,"Jaff Decker",7945,543094
"Jaff Decker","OAK","LF",1,1,9,,,,0,0,0,"Jaff Decker",7945,543094
"Jaff Decker","OAK","RF",4,3,29,,,,0,0,0,"Jaff Decker",7945,543094
"Tim Beckham","TBR","3B",1,0,1,,,,0,0,0,"Tim Beckham",7949,542921
"Hanley Ramirez","BOS","1B",18,17,146,,,,0,0,0,"Hanley Ramirez",8001,434670
"Dee Strange-Gordon","MIA","2B",153,146,1293.1,,,,0,-3,0,"Dee Strange-Gordon",8203,543829
"Dee Strange-Gordon","MIA","SS",3,2,16.1,,,,0,0,0,"Dee Strange-Gordon",8203,543829
"Chris Iannetta","ARI","C",78,70,632.2,0,0,0,,,0,"Chris Iannetta",8267,455104
"Francisco Peña","BAL","C",5,3,26,0,0,0,,,0,"Francisco Pena",8298,506747
"Pedro Florimón","PHI","2B",1,1,9,,,,0,0,0,"Pedro Florimon",8385,465753
"Pedro Florimón","PHI","CF",8,8,60,,,,1,-1,0,"Pedro Florimon",8385,465753
"Pedro Florimón","PHI","RF",2,1,10,,,,0,0,0,"Pedro Florimon",8385,465753
"Pedro Florimón","PHI","SS",2,1,13,,,,0,0,0,"Pedro Florimon",8385,465753
"Ehire Adrianza","MIN","1B",4,1,12,,,,0,0,0,"Ehire Adrianza",8418,501303
"Ehire Adrianza","MIN","2B",9,3,37,,,,0,0,0,"Ehire Adrianza",8418,501303
"Gerardo Parra","COL","CF",1,1,9,,,,0,0,0,"Gerardo Parra",8553,467827
"Tim Federowicz","SFG","C",6,1,17.1,0,0,0,,,0,"Tim Federowicz",8609,543148
"Kendrys Morales","TOR","1B",12,12,103.2,,,,0,0,0,"Kendrys Morales",8610,434778
"Paulo Orlando","KCR","RF",20,14,135,,,,1,0,0,"Paulo Orlando",8628,449181
"Ryan Lavarnway","OAK","C",5,4,35,0,0,0,,,0,"Ryan Lavarnway",8879,543432
"Conor Gillaspie","SFG","1B",4,1,12,,,,0,0,0,"Conor Gillaspie",9009,543216
"Conor Gillaspie","SFG","3B",20,12,129.2,,,,0,0,0,"Conor Gillaspie",9009,543216
"Gordon Beckham","SEA","2B",5,0,10,,,,0,0,0,"Gordon Beckham",9015,493596
"Gordon Beckham","SEA","3B",1,1,9,,,,0,0,0,"Gordon Beckham",9015,493596
"Gordon Beckham","SEA","SS",4,2,19.1,,,,0,0,0,"Gordon Beckham",9015,493596
"Alexi Amarista","COL","2B",19,8,89,,,,0,0,0,"Alexi Amarista",9063,506560
"Alexi Amarista","COL","CF",9,1,25.1,,,,0,0,0,"Alexi Amarista",9063,506560
"Alexi Amarista","COL","RF",9,2,23,,,,0,0,0,"Alexi Amarista",9063,506560
"Danny Espinosa","- - -","3B",4,1,16,,,,0,0,0,"Danny Espinosa",9219,457787
"Danny Espinosa","- - -","SS",4,1,14,,,,0,0,0,"Danny Espinosa",9219,457787
"Koji Uehara","CHC","P",49,0,43,,,,0,,0,"Koji Uehara",9227,493157
"Chris Davis","BAL","3B",2,1,10,,,,0,0,0,"Chris Davis",9272,448801
"Chris Herrmann","ARI","C",45,35,317.2,0,0,0,,,0,"Chris Herrmann",9284,543302
"Brock Holt","BOS","2B",31,17,188.1,,,,0,0,0,"Brock Holt",9345,571788
"Brock Holt","BOS","3B",9,8,77,,,,0,0,0,"Brock Holt",9345,571788
"Brock Holt","BOS","RF",2,1,11,,,,0,0,0,"Brock Holt",9345,571788
"Jeremy Hazelbaker","ARI","CF",6,4,37,,,,0,0,0,"Jeremy Hazelbaker",9399,571757
"Jeremy Hazelbaker","ARI","LF",11,1,31.1,,,,0,0,0,"Jeremy Hazelbaker",9399,571757
"Jeremy Hazelbaker","ARI","RF",8,2,29,,,,0,1,0,"Jeremy Hazelbaker",9399,571757
"Quintin Berry","MIL","CF",1,0,1,,,,0,0,0,"Quintin Berry",9414,450641
"Quintin Berry","MIL","LF",2,0,4,,,,0,0,0,"Quintin Berry",9414,450641
"David Freese","PIT","1B",3,2,15,,,,0,0,0,"David Freese",9549,501896
"Craig Gentry","BAL","CF",9,2,32,,,,0,0,0,"Craig Gentry",9571,502226
"Craig Gentry","BAL","LF",30,11,132,,,,0,1,0,"Craig Gentry",9571,502226
"Adam Rosales","ARI","1B",6,1,25,,,,0,0,0,"Adam Rosales",9682,489267
"Adam Rosales","- - -","2B",11,8,71,,,,0,0,0,"Adam Rosales",9682,489267
"Adam Rosales","- - -","3B",15,11,95,,,,0,0,0,"Adam Rosales",9682,489267
"Adam Rosales","OAK","LF",1,1,5,,,,0,-1,0,"Adam Rosales",9682,489267
"Ryan Goins","TOR","3B",8,1,22,,,,0,0,0,"Ryan Goins",9807,572365
"Andrew McCutchen","PIT","RF",13,13,115.1,,,,0,0,0,"Andrew McCutchen",9847,457705
"Travis Wood","- - -","P",39,14,94,,,,0,,0,"Travis Wood",9884,475243
"Jay Bruce","- - -","RF",133,131,1140,,,,1,-1,0,"Jay Bruce",9892,457803
"Colby Rasmus","TBR","CF",1,0,1,,,,0,0,0,"Colby Rasmus",9893,458675
"Trayce Thompson","LAD","RF",8,1,25,,,,0,1,0,"Trayce Thompson",9952,572204
"Darrell Ceciliani","TOR","LF",1,0,4,,,,0,0,0,"Darrell Ceciliani",9954,571553
"Michael Saunders","TOR","LF",4,2,15.2,,,,0,0,0,"Michael Saunders",9981,459431
"Chris Owings","ARI","LF",1,0,1.1,,,,0,0,0,"Chris Owings",10030,572008
"Grant Green","WSN","2B",2,1,10,,,,0,0,0,"Grant Green",10053,502205
"Max Stassi","HOU","1B",1,0,4,,,,0,0,0,"Max Stassi",10059,545358
"Max Stassi","HOU","C",11,6,64.1,0,0,0,,,0,"Max Stassi",10059,545358
"Tomás Telis","MIA","C",6,1,18,0,0,0,,,0,"Tomas Telis",10067,542513
"Nick Franklin","MIL","RF",2,2,11,,,,0,0,0,"Nick Franklin",10166,545338
"Randal Grichuk","STL","CF",5,2,29,,,,0,0,0,"Randal Grichuk",10243,545341
"Randal Grichuk","STL","LF",58,48,440.1,,,,0,0,0,"Randal Grichuk",10243,545341
"Brandon Belt","SFG","RF",1,0,2,,,,0,0,0,"Brandon Belt",10264,474832
"Héctor Sánchez","SDP","1B",6,2,25,,,,0,0,0,"Hector Sanchez",10289,516949
"Héctor Sánchez","SDP","C",25,19,163.2,0,0,0,,,0,"Hector Sanchez",10289,516949
"Danny Ortiz","PIT","CF",1,1,7,,,,0,0,0,"Danny Ortiz",10317,543611
"Danny Ortiz","PIT","LF",2,1,10.2,,,,0,0,0,"Danny Ortiz",10317,543611
"Danny Ortiz","PIT","RF",6,0,13,,,,0,0,0,"Danny Ortiz",10317,543611
"Danny Santana","ATL","CF",3,2,18,,,,0,0,0,"Danny Santana",10322,542454
"Danny Santana","- - -","RF",9,5,45.2,,,,0,0,0,"Danny Santana",10322,542454
"Marcell Ozuna","MIA","CF",3,2,18,,,,0,0,0,"Marcell Ozuna",10324,542303
"Marcell Ozuna","MIA","RF",1,0,1.1,,,,0,0,0,"Marcell Ozuna",10324,542303
"Rey Fuentes","ARI","CF",41,27,273,,,,0,0,0,"Rey Fuentes",10329,571681
"Rey Fuentes","ARI","LF",9,2,31.1,,,,0,0,0,"Rey Fuentes",10329,571681
"Scooter Gennett","CIN","3B",10,8,71,,,,0,0,0,"Scooter Gennett",10339,571697
