Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Hee-kwan Yoo 유희관","Bears (KBO)",34,10,11,5.017115101601714,27,27,0,0,0,0,0,136.1,622,190,91,76,14,39,4,3,1,0,56,"Hee-kwan Yoo","sa3013257",
"Min-je Jang 장민재","Eagles (KBO)",30,2,7,6.75000059881881,24,10,0,0,0,0,0,57.1,267,86,44,43,5,13,0,2,1,0,32,"Min-je Jang","sa3013300",
"Tae-hoon Kim 김태훈","Wyverns (KBO)",30,1,6,7.403226261952693,33,8,0,0,0,2,5,62,281,61,52,51,8,39,0,4,10,0,43,"Tae-hoon Kim","sa3013306",
"Min-ho Lee 이민호","Twins (KBO)",18,4,4,3.6860069219180924,20,16,0,0,0,0,0,97.2,434,94,46,40,5,44,1,10,4,1,67,"Min-ho Lee","sa3014273",
"Yun-sik Kim 김윤식","Twins (KBO)",20,2,4,6.251231762035041,23,11,0,0,0,0,1,67.2,308,87,50,47,7,24,0,6,2,1,38,"Yun-sik Kim","sa3014275",
"Jae-woong Kim 김재웅","Heroes (KBO)",21,2,4,4.675978151883829,43,7,0,0,0,1,3,59.2,258,64,36,31,7,23,1,2,4,0,51,"Jae-woong Kim","sa3014289",
"Hyeong Jun So 소형준","Wiz (KBO)",18,13,6,3.857142857142857,26,24,0,0,0,0,0,133,572,141,63,57,6,45,0,6,2,0,92,"Hyeong Jun So","sa3014303",
"Dae-kyung Yun 윤대경","Eagles (KBO)",26,5,0,1.588235650508129,55,0,0,0,0,0,8,51,225,48,16,9,3,25,3,3,1,0,42,"Dae-kyung Yun","sa3014324",
"Jae Yun Kim 김재윤","Wiz (KBO)",29,5,3,3.2637368109963907,56,0,0,0,21,7,1,60.2,256,62,23,22,7,15,3,0,0,0,58,"Jae Yun Kim","sa503670",
"Jin-Young Kim 김진영","Eagles (KBO)",28,3,3,3.3333338042836798,58,0,0,0,0,1,9,54,231,48,26,20,6,22,0,3,5,0,56,"Jin-Young Kim","sa598556",
