"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Griffin, A.J.","456167","243","23.9",32.9,"112.5","86.8","76.1","92.3","82.5","439","206","397","77",31.7,"22",9.1,6.5
"Lyles, Jordan","543475","243","7",35.8,"111.9","87.3","75.8","93.2","82.7","451","168","397","90",37.3,"16",6.6,4.9
"Lorenzen, Michael","547179","243","4.3",30,"109.1","85.2","73.2","91","81.9","423","143","392","72",29.6,"11",4.5,3
"Stephenson, Robert","596112","242","15.4",38,"112.1","89.9","79.7","92.5","88.6","431","185","395","90",37.2,"23",9.5,6
"Bibens-Dirkx, Austin","502212","238","14.3",35.7,"114","87.1","75.2","92.5","81.9","459","182","418","82",34.5,"21",8.8,7
"McGowan, Dustin","430661","237","7.3",30,"112.1","88.1","76.6","93.7","83.9","450","164","413","91",38.4,"17",7.2,5.1
"Faria, Jake","607188","237","18",34.2,"110.6","87.7","76.3","93.5","83.9","412","182","383","86",36.3,"15",6.3,4.2
"Gaviglio, Sam","543208","235","8.9",32.8,"110.5","88.2","76.8","93.9","84.3","438","162","404","90",38.3,"19",8.1,6.1
"Petit, Yusmeiro","433589","234","22.1",31.6,"114.9","87","76","91.9","84.4","432","188","400","80",34.3,"13",5.6,3.7
"Covey, Dylan","592229","233","8.6",31.3,"115.5","89.6","78.7","94.5","86.2","466","176","398","93",39.9,"19",8.2,6.1
"Ross, Joe","605452","233","13.6",38.2,"115","87.9","76.5","93.4","82.8","438","187","401","86",37.6,"17",7.3,5.3
"Koehler, Tom","543408","230","12.8",34.8,"110.8","89.1","78.9","92.2","86.4","450","183","398","82",36,"15",6.5,4.5
"Torres, Carlos","448614","230","10.4",34.3,"113.6","85.2","74.1","90.1","81.6","430","161","401","63",27.4,"13",5.7,4
"Kintzler, Brandon","445213","230","5",31.3,"111.1","85.6","74.1","91.7","82.6","437","136","408","64",27.8,"10",4.3,3.5
"Hahn, Jesse","534910","230","9.5",34.3,"110.8","88.5","78.1","93.1","85.3","437","174","397","78",33.9,"11",4.8,3.5
"Matz, Steven","571927","228","9",31.1,"110.5","88.4","77.4","93.9","84.8","434","162","399","86",37.7,"15",6.6,5
"Eflin, Zach","621107","228","12.2",30.3,"111.5","88.4","78","93","85.4","437","181","399","81",35.7,"19",8.3,6.8
"Castillo, Luis","622491","226","6.4",24.3,"112.4","85.9","74.4","92.4","82.9","454","141","399","70",31,"8",3.5,2.2
"Stammen, Craig","489334","225","6.9",30.7,"111.5","86.6","75.8","92","82.4","412","158","393","66",29.9,"12",5.3,3.6
"Duffey, Tyler","608648","224","7.3",32.1,"111.2","89.3","78.5","93.9","85.4","418","171","400","92",41.1,"17",7.6,5.5
"Santiago, Héctor","502327","224","22.5",33.5,"114.2","90.5","80.6","93.7","89.4","437","207","396","87",39.4,"26",11.6,8.4
"Shoemaker, Matt","533167","224","15.4",36.2,"113.9","89.2","79.4","93.8","84","441","204","404","77",34.4,"21",9.4,6.4
"Bleier, Richard","542947","222","-1.2",18,"114.2","87.4","75.7","91.4","86.5","464","112","400","79",35.9,"6",2.7,2.3
"Treinen, Blake","595014","221","2.8",28.5,"113.6","86.8","74.5","92","85.2","427","134","403","78",35.3,"8",3.6,2.5
"Shaw, Bryan","543766","217","3.4",30,"110.3","85.2","73.7","91","82.1","422","131","393","62",28.7,"5",2.3,1.6
"Garrett, Amir","607237","216","12.5",29.2,"114.7","89.8","79.3","94.4","85.3","450","184","391","87",40.3,"16",7.4,5
"Wood, Blake","502028","214","6",29.4,"112.2","87","75.8","90","85.7","434","150","407","68",31.9,"9",4.2,2.7
"Reed, Addison","592665","214","15.7",36,"115.1","87.6","76.9","91.8","84.5","462","182","414","78",36.4,"15",7,4.9
"Beck, Chris","571476","214","14.5",35,"112.3","88.8","78.5","93.6","85.6","450","184","400","77",36.2,"16",7.5,5.4
"Watson, Tony","453265","213","9",32.4,"109.6","84.3","73.7","89.8","80.2","423","155","379","48",22.6,"6",2.8,2.1
"Price, David","456034","213","13.1",33.8,"110.9","86.3","74.7","90.4","82.8","469","176","406","68",32.1,"14",6.6,4.4
"LeBlanc, Wade","453281","211","11.2",33.2,"112.6","86.4","75.1","90.8","83.4","440","175","414","67",31.8,"13",6.2,4.6
"Stripling, Ross","548389","211","10.3",30.8,"110.1","86.4","75.3","90.5","83.5","429","153","405","59",28.1,"11",5.2,3.6
"Velasquez, Vince","592826","210","13.3",35.7,"115.1","89.4","77.7","94.2","85.8","442","183","399","86",41.1,"16",7.6,5.1
"Triggs, Andrew","592811","210","8.5",29.5,"112.8","88.6","78.3","92.4","86.3","453","168","404","71",33.8,"12",5.7,4.2
"García, Luis","472610","209","3.7",27.8,"110.1","86.6","75.1","93.7","83.7","399","137","391","69",33,"8",3.8,2.7
"Jeffress, Jeremy","502026","208","3",28.8,"109.8","84.3","72.1","92","80.3","436","141","386","53",25.9,"11",5.3,3.7
"Castro, Miguel","612434","206","8.3",27.7,"112.4","85.7","74.1","91.1","82.2","445","152","410","60",29.1,"8",3.9,2.9
"Glasnow, Tyler","607192","203","13.6",33,"111.6","87.8","77.2","91.9","84.4","465","185","409","73",36,"15",7.4,4.9
"Moore, Andrew","621058","203","22.3",34,"113.7","90.5","80.8","93.4","89.4","432","205","391","84",41.6,"14",6.9,5.8
"Bell, Chad","518445","202","8.9",35.6,"116.2","88.3","76.4","92.4","85.6","425","174","400","83",41.1,"17",8.4,5.8
"Neris, Héctor","593576","202","17.1",34.2,"108.5","87.6","77.1","91.7","83.1","435","192","410","67",33.3,"15",7.4,4.7
"Torres, José","600526","201","16.5",30.8,"111.5","89.6","79.5","93.6","86.5","433","198","397","79",40.1,"14",7,4.9
"Wilson, Alex","543935","200","13.9",35,"111.6","87.8","75.5","93.6","84.1","435","173","402","77",38.7,"16",8,6.2
