"player_id","player_name","team_name","start_year","end_year","key_target_base","runs_prevented_on_running_attr","n_pitcher_cs_aa","n_init","rate_sbx","n_sb","n_cs","n_pk","n_bk","n_fb","n_plus","n_minus","net_attr_plus","net_attr_minus","r_primary_lead","r_secondary_lead","r_sec_minus_prim_lead","r_primary_lead_sbx","r_secondary_lead_sbx","r_sec_minus_prim_lead_sbx"
607215,"Skoglund, Eric","KC",2019,2019,"All",-0.4310812796907869,-0.4409638793858821,137,0.021897810218978103,3,0,0,0,0,3,0,-2.0755030140176323,-0.035512615305021686,"12.081574803","15.138330709","3.056755906","14.689","28.659","13.97"
641571,"Fillmyer, Heath","KC",2019,2019,"All",0.18418742112631975,0.24167716736892764,191,0.005235602094240838,1,0,0,0,0,1,0,1.0341331011930155,-0.050309331360629254,"11.814312139","15.568936416","3.754624277","10.905","19.972","9.067"
450172,"Volquez, Edinson","TEX",2019,2019,"All",-0.12140863877835237,-0.18314703075352473,130,0.007692307692307693,1,0,0,0,0,1,0,0.1768386484635164,-0.3483919299356789,"11.349690476","16.636166667","5.28647619","12.367","26.645","14.278"
605164,"Bundy, Dylan","BAL",2019,2019,"All",-0.7093883348944915,-0.6364245919004223,1006,0.009940357852882704,8,2,0,1,0,9,2,-2.1297535669144585,-0.629861381136888,"12.066580611","16.235989463","4.169408851","11.856","24.0106","12.1546"
623149,"Sewald, Paul","NYM",2019,2019,"All",0.05308469208775016,,112,0,0,0,0,0,0,0,0,0.9426059604387509,-0.30097000000000007,"11.876972973","15.276936937","3.399963964",,,
641835,"Mayza, Tim","TOR",2019,2019,"All",-0.4309334277604939,-0.36872879449017437,309,0.009708737864077669,3,0,0,0,0,3,0,-0.43086507165932797,-0.7661342520636178,"11.318067114","15.156449664","3.83838255","14.777666667","36.052333333","21.274666667"
664062,"Gonsolin, Tony","LAD",2019,2019,"All",-0.14088019487721073,-0.05267699449965954,209,0.019138755980861243,4,0,0,0,0,4,0,-1.5818656625573955,0.38998430585393007,"12.21661658","17.699227979","5.482611399","11.55375","22.845","11.29125"
621249,"Underwood Jr., Duane","CHC",2019,2019,"All",0.15635745230737666,0.36113598097830657,111,0.036036036036036036,4,0,0,0,0,4,0,-1.7001269237255334,1.10307297122774,"12.412150943","16.996632075","4.584481132","11.0755","22.35525","11.27975"
642003,"Reed, Cody","CIN",2019,2019,"All",0.011831024889722111,,53,0,0,0,0,0,0,0,0,0.41033512444861103,-0.15608000000000005,"11.306791667","13.97225","2.665458333",,,
664180,"Hall, Matt","DET",2019,2019,"All",-0.10616029178417534,-0.1444697422674119,233,0.004291845493562232,1,0,0,0,0,1,0,0.9861798478328392,-0.6742139141127642,"10.754031674","13.126941176","2.372909502","12.284","20.069","7.785"
576397,"Gyorko, Jedd","LAD",2019,2019,"All",0.000010727580372250429,,4,0,0,0,0,0,0,0,0,0.0009536379018612521,-0.0004,"10.4575","10.7775","0.32",,,
573185,"Straily, Dan","BAL",2019,2019,"All",0.03758009571779946,,425,0,0,0,0,0,0,0,0,2.602510478589004,-1.0731600000000001,"11.043647059","15.199746803","4.156099744",,,
543532,"Melville, Tim","COL",2019,2019,"All",0.4523028542100473,0.5276004952970181,175,0.011428571428571429,2,0,0,0,0,2,0,0.1206055077166316,0.9515150059260523,"11.893852941","16.191017647","4.297164706","10.827","19.7965","8.9695"
467100,"Nova, Iván","CWS",2019,2019,"All",-0.23556955143487204,-0.19216461542109647,1085,0.011059907834101382,9,3,0,0,0,9,3,0.10582960439909639,-0.5705232718104156,"11.63873161","16.546233598","4.907501988","12.405","24.133083333","11.728083333"
501593,"Avilán, Luis","NYM",2019,2019,"All",-0.26777255792940735,-0.3587611965780739,258,0.007751937984496124,2,0,0,0,0,2,0,0.05272815065926459,-0.6184848623583563,"11.004544715","13.163821138","2.159276423","11.3225","32.421","21.0985"
453281,"LeBlanc, Wade","SEA",2019,2019,"All",0.01919428590654744,-0.20012758335579922,622,0.003215434083601286,2,0,0,0,0,2,0,3.6320157859455255,-1.5715752695167928,"11.422446309","14.043848993","2.621402685","11.2845","21.6095","10.325"
607644,"Means, John","BAL",2019,2019,"All",0.21198746067211088,,898,0,0,0,0,0,0,0,0,7.03872730336056,-2.65724,"11.55860984","13.130265446","1.571655606",,,
612434,"Castro, Miguel","BAL",2019,2019,"All",-1.6702545292245423,-1.7692711984518035,507,0.029585798816568046,14,1,0,2,0,16,1,-11.320762479609302,1.3197732593273725,"12.40612115","17.434476386","5.028355236","12.0716","26.2264","14.1548"
456501,"Cueto, Johnny","SF",2019,2019,"All",0.11478572268832844,0.038431941067081976,94,0.010638297872340425,1,0,0,0,0,1,0,0.3272276388742746,0.1096448775854969,"11.331590909","15.011897727","3.680306818","10.251","24.646","14.395"
621592,"Jiménez, Eduardo","DET",2019,2019,"All",0.03308533496653302,,83,0,0,0,0,0,0,0,0,0.6251016748326653,-0.20429999999999987,"12.432851852","16.434555556","4.001703704",,,
607625,"Lugo, Seth","NYM",2019,2019,"All",0.3195606034951356,0.36159036855600085,396,0.010101010101010102,3,1,0,0,0,3,1,0.6619747927971587,0.4159236554126761,"11.011902235","15.248349162","4.236446927","10.19725","21.73675","11.5395"
623454,"Anderson, Drew","PHI",2019,2019,"All",-0.004593553407712822,,35,0,0,0,0,0,0,0,0,0.10829723296143592,-0.05834000000000004,"12.433676471","15.802264706","3.368588235",,,
593372,"Martinez, Carlos","STL",2019,2019,"All",0.048929694021646444,,265,0,0,0,0,0,0,0,0,1.948370970108233,-0.7572099999999999,"11.762867424","15.421284091","3.658416667",,,
605452,"Ross, Joe","WSH",2019,2019,"All",0.08555320502610064,,404,0,0,0,0,0,0,0,0,2.8274810251305036,-1.0665400000000005,"11.965516043","16.336692513","4.371176471",,,
670329,"Garcia, Rico","COL",2019,2019,"All",-0.0025803305408567115,,39,0,0,0,0,0,0,0,0,0.14612834729571644,-0.07068000000000005,"10.477216216","14.615675676","4.138459459",,,
488984,"Hunter, Tommy","PHI",2019,2019,"All",0.0017374789462522543,,23,0,0,0,0,0,0,0,0,0.17160989473126131,-0.07241000000000003,"9.110130435","11.287956522","2.177826087",,,
607231,"Gant, John","STL",2019,2019,"All",0.14276629088989135,0.13175023397945734,419,0.002386634844868735,1,0,0,0,0,1,0,2.005893794188313,-0.5742499287728249,"11.554498721","15.500624041","3.94612532","11.79","18.547","6.757"
501985,"Minor, Mike","TEX",2019,2019,"All",0.3999382638428124,-0.09982559569812223,1142,0.010507880910683012,10,2,1,0,0,10,3,0.4722856387330653,0.6788469691026677,"11.496703256","14.10132","2.604616744","12.117416667","25.69725","13.579833333"
502748,"Peacock, Brad","HOU",2019,2019,"All",-0.4585211928048674,-0.5766986424504318,490,0.012244897959183673,5,1,0,0,0,5,1,-0.9658505810861158,-0.5896690590836523,"12.014654506","16.191042918","4.176388412","11.278666667","22.630166667","11.3515"
666200,"Luzardo, Jesús","OAK",2019,2019,"All",0.015831632814207505,,46,0,0,0,0,0,0,0,0,0.40520566407103753,-0.1449100000000001,"12.062565217","14.648521739","2.585956522",,,
663567,"Lambert, Peter","COL",2019,2019,"All",1.2775916701684644,0.5701706138192653,612,0.0032679738562091504,2,0,2,0,0,2,2,2.2843869972813087,1.823809490471567,"11.458773684","15.306312281","3.847538596","11.253","20.138","8.885"
621242,"Díaz, Edwin","NYM",2019,2019,"All",-0.7609398077479956,-0.6458331128481305,356,0.02247191011235955,8,0,0,0,0,8,0,-4.43593567047146,0.28054961410288365,"11.505164671","16.456586826","4.951422156","12.4345","26.604125","14.169625"
