Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Seth Shuman","WSN","AAA",27,4,5,6.602190148691339,31,14,0,0,0,0,,91.1,400,110,72,67,21,21,0,5,1,2,81,"sa3011187"
"Ryan Garcia","TEX","AAA",27,2,4,7.6445790159458955,27,6,0,0,0,2,,55.1,261,59,48,47,15,41,2,2,3,0,57,"sa3011190"
"Adam Macko","TOR","AAA",24,3,8,5.0625,18,10,0,0,0,0,,64,287,61,37,36,6,36,0,4,5,1,65,"sa3011555"
"Garrett Stallings","MIL","AAA",27,5,3,3.986577385336723,30,15,0,0,0,0,,99.1,406,97,45,44,9,22,1,0,2,0,72,"sa3014457"
"Nick Frasso","LAD","AAA",26,6,1,5.4935064935064934,43,7,0,0,1,3,,77,346,80,47,47,10,42,0,4,8,1,68,"sa3014492"
"Ian Bedell","STL","AAA",25,0,5,7.961538461538462,14,14,0,0,0,0,,52,246,65,46,46,14,24,0,3,4,0,51,"sa3014538"
"Marco Raya","MIN","AAA",22,2,8,6.020270890959754,30,20,0,0,0,0,,98.2,451,103,72,66,16,57,0,7,13,1,102,"sa3014550"
"CJ Van Eyk","TOR","AAA",26,4,6,4.936567445246423,20,17,0,0,1,0,,89.1,403,96,63,49,15,40,0,4,2,0,73,"sa3014713"
"Kyle Brnovich","COL","AAA",27,3,6,7.569037354878806,22,18,0,0,0,0,,79.2,378,91,71,67,15,49,0,7,4,0,84,"sa3014923"
"Dane Acker","TEX","AAA",26,4,1,5.4,30,1,0,0,0,2,,50,228,59,34,30,5,26,0,1,1,0,49,"sa3014924"
"Logan Boyer","LAD","AAA",27,5,5,5,50,0,0,0,1,4,,54,251,61,31,30,5,39,0,2,4,1,51,"sa3015002"
"Jack Dashwood","LAA","AAA",27,2,6,7.333333333333333,48,2,0,0,1,5,,54,262,77,49,44,10,24,1,1,2,0,56,"sa3015035"
"Ryan Watson","SFG","AAA",27,4,3,4.263157466772233,46,0,0,0,9,4,,50.2,228,58,28,24,5,16,2,1,2,0,64,"sa3015070"
"Drake Fellows","PIT","AAA",27,9,6,4.406528389431119,33,19,0,0,0,1,,112.1,483,110,58,55,11,46,0,5,2,0,94,"sa3015208"
"Miguel Ullola","HOU","AAA",23,7,6,3.8797657431115957,28,23,0,0,1,1,,113.2,492,75,49,49,7,78,0,4,7,0,131,"sa3016504"
"Nick Dombkowski","PIT","AAA",26,3,6,5.677570498284349,26,12,0,0,0,0,,71.1,310,76,47,45,14,29,1,3,1,0,63,"sa3017201"
"Logan Workman","TBR","AAA",26,9,7,4.017505202178274,29,28,1,0,0,0,,152.1,623,138,70,68,27,45,0,2,0,0,152,"sa3017313"
"Brett Kerry","LAA","AAA",26,8,9,7.75,21,19,0,0,0,0,,108,489,134,94,93,27,40,0,5,3,0,81,"sa3017390"
"Aaron Brown","HOU","AAA",26,3,10,9.456221863089837,20,15,0,0,0,0,,72.1,359,106,78,76,26,38,1,4,2,0,46,"sa3017500"
"Alex Cornwell","STL","AAA",26,4,6,5.924461082015122,35,12,0,0,1,2,,92.2,424,110,66,61,9,45,0,4,5,1,71,"sa3017501"
"Lael Lockhart","DET","AAA",27,5,7,5.337209302325581,20,20,0,0,0,0,,86,378,84,54,51,10,48,0,4,2,1,83,"sa3017502"
"Wyatt Olds","BOS","AAA",25,3,2,5.906250563263947,34,0,0,0,1,1,,53.1,236,37,38,35,9,39,0,8,6,1,59,"sa3017539"
"Rhett Kouba","HOU","AAA",25,4,3,5.0625,38,4,0,0,1,0,,80,354,79,47,45,8,46,0,6,5,0,51,"sa3017544"
"Jake Rice","ARI","AAA",27,3,1,7.833333333333333,46,0,0,0,0,1,,54,271,59,50,47,9,51,4,6,8,2,52,"sa3017593"
"Riley Martin","CHC","AAA",27,6,2,2.6858636597747276,47,1,0,0,4,2,,63.2,261,41,21,19,4,35,0,2,2,0,80,"sa3017601"
"Aaron Davenport","CLE","AAA",24,4,7,5.225806451612903,20,16,0,0,0,1,,93,417,92,55,54,11,55,0,9,6,2,77,"sa3017615"
"Sam Benschoter","CIN","AAA",27,8,3,4.11864460038584,38,5,0,0,2,2,,78.2,326,82,36,36,11,22,0,2,1,0,68,"sa3017639"
"Tyler Uberstine","BOS","AAA",26,6,4,3.5604395604395602,19,15,0,0,0,0,,91,390,84,40,36,16,37,0,5,3,0,102,"sa3017643"
"Trenton Wallace","TOR","AAA",26,0,2,4.180644749731766,25,8,0,0,1,1,,51.2,231,44,26,24,6,36,0,2,1,1,65,"sa3017748"
"Ryan Sublette","LAD","AAA",26,8,3,5.0625004827976685,39,1,0,0,0,4,,53.1,259,60,31,30,5,39,0,6,0,0,56,"sa3017781"
