Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Jeong-hyeok Kim 김정혁","Lions (KBO)",31,31,84,91,23,18,5,0,0,15,13,4,0,18,2,1,0,1,3,1,0.273809523,"Jeong-hyeok Kim","sa3012252",
"Sa-hoon Kim 김사훈","Giants (KBO)",30,57,76,89,14,11,3,0,0,1,8,6,0,21,1,1,5,2,1,0,0.184210526,"Sa-hoon Kim","sa3012260",
"Kyung-hak Kang 강경학","Eagles (KBO)",24,59,84,93,18,15,2,1,0,17,4,8,0,19,1,0,0,1,1,1,0.214285714,"Kyung-hak Kang","sa3012267",
"Jin-gi Jeong 정진기","Wyverns (KBO)",24,90,197,212,46,29,5,1,11,37,35,9,0,55,4,0,2,1,4,0,0.233502538,"Jin-gi Jeong","sa3012275",
"Byung-ho Yoon 윤병호","Dinos (KBO)",27,49,55,58,11,8,3,0,0,11,2,2,0,10,0,0,1,2,2,0,0.2,"Byung-ho Yoon","sa3012281",
"Ji-hyuk Ryu 류지혁","Bears (KBO)",23,125,297,330,77,57,13,4,3,60,26,21,0,55,4,0,8,2,7,5,0.259259259,"Ji-hyuk Ryu","sa3012288",
"Sei-hyok Park 박세혁","Bears (KBO)",27,97,201,237,57,44,8,0,5,41,26,19,0,44,5,4,8,1,2,1,0.283582089,"Sei-hyok Park","sa3012290",
"Jae-hyun Kim 김재현","Heroes (KBO)",24,70,84,88,14,10,2,0,2,6,6,3,0,27,1,0,0,4,0,0,0.166666666,"Jae-hyun Kim","sa3012294",
"Jeong-eum Park 박정음","Heroes (KBO)",28,81,140,162,34,27,4,1,2,26,15,9,0,39,8,1,4,0,3,4,0.242857142,"Jeong-eum Park","sa3012296",
"Ja-wook Koo 구자욱","Lions (KBO)",24,144,564,647,175,105,39,10,21,108,107,63,1,138,10,10,0,1,10,4,0.310283687,"Ja-wook Koo","sa3012300",
"Hae-min Park 박해민","Lions (KBO)",27,144,570,638,162,122,25,8,7,96,54,50,0,78,1,9,8,6,40,12,0.284210526,"Hae-min Park","sa3012304",
"Sang-ho Kim 김상호","Giants (KBO)",28,80,101,114,23,19,3,1,0,7,7,11,1,22,2,0,0,4,0,3,0.227722772,"Sang-ho Kim","sa3012311",
"Ju-suk Ha 하주석","Eagles (KBO)",23,111,432,470,123,86,18,8,11,69,52,23,0,83,5,1,9,6,7,6,0.284722222,"Ju-suk Ha","sa3012320",
"Won-seok Kim 김원석","Eagles (KBO)",27,78,195,212,54,33,12,2,7,29,26,10,0,59,5,0,2,3,0,0,0.276923076,"Won-seok Kim","sa3012324",
"Sung-woo Yang 양성우","Eagles (KBO)",28,118,358,417,99,70,26,1,2,42,40,38,0,51,12,2,7,8,4,4,0.276536312,"Sung-woo Yang","sa3012326",
"Seung-wook Park 박승욱","Wyverns (KBO)",24,73,158,184,32,24,3,2,3,25,11,16,0,57,4,1,5,1,0,4,0.202531645,"Seung-wook Park","sa3012327",
"Min-sik Kim 김민식","Tigers (KBO)",28,137,352,392,78,63,9,2,4,39,40,26,0,55,5,2,7,7,3,3,0.221590909,"Min-sik Kim","sa3012328",
"Hang Choi 최항","Wyverns (KBO)",23,37,106,116,34,25,8,0,1,14,16,3,0,29,3,2,2,1,0,1,0.320754716,"Hang Choi","sa3012332",
"Yoo-seom Han 한유섬","Wyverns (KBO)",27,103,350,414,103,51,21,2,29,64,73,46,2,79,15,3,0,8,2,2,0.294285714,"Yoo-seom Han","sa3012336",
"Min-woo Park 박민우","Dinos (KBO)",24,106,388,452,141,109,25,4,3,84,47,46,0,51,11,4,3,8,11,1,0.363402061,"Min-woo Park","sa3012337",
"Seong-uk Kim 김성욱","Dinos (KBO)",24,124,308,347,76,48,18,4,6,60,31,24,1,59,9,5,1,4,10,4,0.246753246,"Seong-uk Kim","sa3012349",
"Sung-bum Na 나성범","Dinos (KBO)",27,125,498,561,173,105,42,2,24,103,99,48,10,116,12,3,0,8,17,7,0.347389558,"Sung-bum Na","sa3012352",
"Seung-ho Kang 강승호","Twins (KBO)",23,85,248,268,62,41,14,2,5,42,31,7,0,67,3,7,3,5,2,2,0.25,"Seung-ho Kang","sa3012361",
"Hyun Jung 정현","Wiz (KBO)",23,124,350,399,105,76,20,3,6,45,42,18,0,69,22,3,6,14,4,2,0.3,"Hyun Jung","sa3012377",
"Hong-ku Lee 이홍구","Wyverns (KBO)",26,53,101,110,19,6,3,0,10,14,18,5,0,43,2,1,1,2,0,0,0.188118811,"Hong-ku Lee","sa3012389",
"Soo-kwang Ro 노수광","Wyverns (KBO)",26,131,382,425,109,82,18,3,6,72,39,25,2,84,9,5,4,3,16,9,0.285340314,"Soo-kwang Ro","sa3012395",
"Seung-taek Han 한승택","Tigers (KBO)",23,96,83,91,19,16,2,1,0,7,7,6,0,25,1,0,1,1,0,0,0.228915662,"Seung-taek Han","sa3012396",
"Jae-won Choi 최재원","Twins (KBO)",26,69,142,159,33,27,4,1,1,20,12,8,0,34,3,3,3,2,3,3,0.232394366,"Jae-won Choi","sa3012406",
"Jun-wan Kim 김준완","Dinos (KBO)",26,104,124,144,31,28,2,1,0,19,8,15,0,27,1,2,2,3,2,2,0.25,"Jun-wan Kim","sa3012408",
"Hui-dong Kwon 권희동","Dinos (KBO)",26,141,472,554,135,94,20,2,19,72,86,51,1,90,17,7,7,12,3,3,0.286016949,"Hui-dong Kwon","sa3012415",
"Woo-jun Shim 심우준","Wiz (KBO)",22,103,286,303,82,61,15,2,4,38,26,8,0,58,4,1,4,4,18,5,0.286713286,"Woo-jun Shim","sa3012420",
"Seong-hyun Shin 신성현","Bears (KBO)",26,34,67,72,11,7,2,1,1,5,7,2,0,21,1,1,1,2,1,0,0.164179104,"Seong-hyun Shin","sa3012434",
"Suk-hwan Yang 양석환","Twins (KBO)",25,132,445,496,117,73,27,3,14,62,83,38,2,93,6,5,2,13,3,7,0.262921348,"Suk-hwan Yang","sa3012438",
"Han-wool Kang 강한울","Lions (KBO)",25,135,412,448,125,113,9,3,0,58,24,26,0,57,0,1,9,4,12,7,0.303398058,"Han-wool Kang","sa3012471",
"Yong-ho Cho 조용호","Wyverns (KBO)",27,69,191,225,52,44,7,1,0,34,10,25,0,39,3,0,6,4,11,2,0.272251308,"Yong-ho Cho","sa3012491",
"Wang-yeol Park 박대온","Dinos (KBO)",21,60,63,66,12,3,7,1,1,5,1,2,0,18,0,0,1,3,0,0,0.19047619,"Wang-yeol Park","sa3012497",
"Ik-hoon Ahn 안익훈","Twins (KBO)",21,108,219,248,70,64,5,0,1,38,15,18,0,28,4,2,5,3,3,2,0.319634703,"Ik-hoon Ahn","sa3012513",
"Sung-Mun Song 송성문","Heroes (KBO)",20,38,77,90,21,19,0,1,1,11,8,10,0,16,1,1,1,0,0,1,0.272727272,"Sung-Mun Song","sa3012529",
"Jung-heop Huh 허정협","Heroes (KBO)",27,83,228,266,54,36,9,0,9,35,39,24,1,73,12,1,1,2,1,2,0.236842105,"Jung-heop Huh","sa3012533",
"Jeong-woong Kwon 권정웅","Lions (KBO)",24,61,99,112,21,12,3,0,6,11,11,8,0,31,1,0,4,4,0,0,0.212121212,"Jeong-woong Kwon","sa3012535",
"Ho-ryung Kim 김호령","Tigers (KBO)",25,98,90,105,24,16,6,1,1,31,11,9,0,23,2,1,3,0,3,2,0.266666666,"Ho-ryung Kim","sa3012550",
"Woong-bin Kim 김웅빈","Heroes (KBO)",21,67,135,142,34,23,8,0,3,18,19,6,0,33,1,0,0,3,0,0,0.251851851,"Woong-bin Kim","sa3012561",
"Soo-haeng Jo 조수행","Bears (KBO)",23,80,47,52,13,11,2,0,0,17,2,4,0,12,1,0,0,0,3,2,0.276595744,"Soo-haeng Jo","sa3012578",
"Hyo-sang Joo 주효상","Heroes (KBO)",19,64,118,129,23,17,5,0,1,10,9,9,0,51,2,0,0,2,0,0,0.194915254,"Hyo-sang Joo","sa3012583",
"Soung-hun Kim 김성훈","Lions (KBO)",23,47,151,166,48,42,4,2,0,27,18,12,0,16,1,1,1,2,4,2,0.317880794,"Soung-hun Kim","sa3012590",
"Won-jun Choi 최원준","Tigers (KBO)",20,72,156,174,48,30,15,0,3,27,27,10,0,20,2,3,3,2,3,2,0.307692307,"Won-jun Choi","sa3012595",
"Dong-hun Lee 이동훈","Eagles (KBO)",20,67,131,145,29,29,0,0,0,23,2,5,0,15,1,0,8,2,4,2,0.221374045,"Dong-hun Lee","sa3012602",
"Kyung-un Jeong 정경운","Eagles (KBO)",23,46,106,121,25,21,2,1,1,8,7,9,0,24,0,2,4,2,2,0,0.235849056,"Kyung-un Jeong","sa3012608",
"Tae-hun Do 도태훈","Dinos (KBO)",24,32,47,51,9,7,1,0,1,3,4,4,0,7,0,0,0,2,0,0,0.191489361,"Tae-hun Do","sa3012620",
"Joo-chan Kim 김주찬","Tigers (KBO)",36,122,440,478,136,83,39,2,12,78,70,31,0,59,4,1,2,17,9,2,0.309090909,"Joo-chan Kim","sa3012763",
"Sung-woo Lee 이성우","Wyverns (KBO)",35,64,111,125,31,25,5,0,1,6,14,6,0,17,1,0,7,2,0,0,0.279279279,"Sung-woo Lee","sa3012790",
"Min-seok Jang 장민석","Eagles (KBO)",35,88,299,327,83,73,9,0,1,38,21,15,0,58,0,1,12,4,8,4,0.277591973,"Min-seok Jang","sa3012799",
"Han-yi Park 박한이","Lions (KBO)",38,68,118,134,31,18,9,0,4,14,14,13,2,33,0,1,2,2,0,0,0.262711864,"Han-yi Park","sa3012800",
"Kyeong-eon Kim 김경언","Eagles (KBO)",34,38,105,118,26,14,7,0,5,17,17,12,0,27,1,0,0,1,1,0,0.247619047,"Kyeong-eon Kim","sa3012812",
