Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Arquimedes Gamboa","STL","AA",25,545,0.326797385,1.416666666,0.251612903,0.438709677,0.309677419,0.197916666,0.09375,0.5047619,0.22539683,0.26984127,0.11239449,930,1321,2251,"sa877497"
"Juan Zabala","SDP","AA",23,77,0.265306122,0.894736842,0.234042553,0.361702127,0.404255319,0.157894736,0,0.51923077,0.26923077,0.21153846,0.1299639,86,191,277,"sa913717"
"Jeison Guzman","KCR","AA",24,252,0.372881355,1.390243902,0.222222222,0.452380952,0.325396825,0.097560975,0.195121951,0.4609375,0.21875,0.3203125,0.18408437,400,643,1043,"sa914314"
"Nick Dunn","STL","AA",26,312,0.35064935,1.298701298,0.24680851,0.425531914,0.327659574,0.194805194,0.09090909,0.34453782,0.21848739,0.43697479,0.04483926,460,722,1182,"sa915613"
"Donovan Casey","WSN","AA",27,258,0.297297297,1.24,0.222222222,0.430555555,0.347222222,0.14,0.04,0.39735099,0.20529801,0.39735099,0.18406072,375,679,1054,"sa915654"
"Diego Rincones","DET","AA",24,206,0.246666666,0.852941176,0.176470588,0.379084967,0.444444444,0.294117647,0.102941176,0.46835443,0.25949367,0.2721519,0.11282051,275,505,780,"sa916849"
"Jesus Bastidas","NYY","AA",24,71,0.238095238,0.619047619,0.244444444,0.288888888,0.466666666,0.38095238,0.142857142,0.53333333,0.24444444,0.22222222,0.09774436,102,164,266,"sa916969"
"Cristopher Navarro","COL","AA",24,98,0.21875,1.6,0.161290322,0.516129032,0.322580645,0.25,0,0.453125,0.234375,0.3125,0.09714286,109,241,350,"sa917065"
"Pedro Castellanos","SDP","AA",25,315,0.278761061,1.08045977,0.216450216,0.406926406,0.376623376,0.333333333,0.068965517,0.40086207,0.22413793,0.375,0.12290009,347,784,1131,"sa917074"
"Eduardo Torrealba","NYY","AA",24,151,0.25,1.023255813,0.155339805,0.427184466,0.417475728,0.162790697,0.023255813,0.52777778,0.24074074,0.23148148,0.08669355,178,318,496,"sa917095"
"Ismael Munguia","SFG","AA",24,335,0.314285714,1.26744186,0.194214876,0.450413223,0.3553719,0.186046511,0.069767441,0.38976378,0.2480315,0.36220472,0.06808134,400,731,1131,"sa917132"
"Moises Castillo","CHW","AA",23,424,0.268707482,1.402061855,0.199312714,0.467353951,0.333333333,0.226804123,0.051546391,0.50167224,0.23411371,0.26421405,0.07594937,688,1050,1738,"sa917135"
"Leonel Valera","WSN","AA",23,323,0.292929292,1.060975609,0.163366336,0.430693069,0.405940594,0.207317073,0.036585365,0.42718447,0.27669903,0.2961165,0.13844871,429,770,1199,"sa917320"
"Julio E. Rodriguez","DET","AA",26,296,0.260869565,1.013888888,0.176136363,0.414772727,0.409090909,0.25,0.222222222,0.49438202,0.26966292,0.23595506,0.15938303,430,737,1167,"sa917669"
"Lolo Sanchez","PIT","AA",24,332,0.255506607,0.948979591,0.154867256,0.411504424,0.433628318,0.387755102,0.051020408,0.52521008,0.25210084,0.22268908,0.08618012,519,769,1288,"sa917767"
