Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Andy Weber","ARI","AA",27,27,100,109,26,19,3,1,3,20,18,8,0,30,1,0,0,1,1,1,0.26,"sa3008282"
"Jaylen Palmer","CHC","AA",24,117,376,437,90,72,9,1,8,57,35,53,0,153,6,2,0,4,25,9,0.239361702,"sa3008297"
"Omar Martinez","NYY","AA",23,24,85,96,18,10,5,0,3,11,10,9,0,26,0,2,0,3,0,0,0.211764705,"sa3008573"
"Antonio Gomez","NYY","AA",23,35,107,121,15,12,3,0,0,6,7,12,0,41,0,1,1,1,2,0,0.140186915,"sa3008746"
"Eduardo Garcia","MIL","AA",22,33,113,128,24,18,6,0,0,12,9,14,0,38,0,1,0,0,5,3,0.21238938,"sa3008751"
"Juan Guerrero","COL","AA",23,103,370,413,96,77,17,0,2,36,34,32,1,63,1,8,2,12,13,6,0.259459459,"sa3008759"
"Victor Bericoto","SFG","AA",23,93,344,393,92,62,15,3,12,43,49,43,0,92,3,3,0,7,2,1,0.26744186,"sa3008767"
"Dayan Frias","CLE","AA",23,71,241,292,54,35,13,0,6,35,30,43,0,81,4,3,1,0,13,5,0.22406639,"sa3008768"
"Elio Prado","PHI","AA",23,23,80,90,16,12,3,0,1,9,8,8,0,32,1,1,0,0,2,2,0.2,"sa3008807"
"Noelberth Romero","BAL","AA",23,40,120,131,19,14,2,1,2,11,8,5,0,40,2,1,3,3,4,0,0.158333333,"sa3008808"
"Alex De Jesus","TOR","AA",23,61,192,214,36,26,6,3,1,16,13,20,0,66,0,2,0,2,3,0,0.1875,"sa3008842"
"Jose Ramos","LAD","AA",24,58,213,244,47,32,5,0,10,28,32,24,0,78,3,4,0,3,2,7,0.220657276,"sa3008845"
"Alexander Vargas","NYY","AA",23,42,132,147,30,20,7,2,1,13,13,12,1,33,2,1,0,1,10,4,0.227272727,"sa3008851"
"Gabriel Martinez","TOR","AA",22,73,224,248,56,39,14,1,2,20,21,19,0,48,2,2,0,9,4,0,0.25,"sa3008865"
"Brayan Buelvas","OAK","AA",23,70,242,270,47,29,13,0,5,29,26,22,0,86,4,1,0,4,6,1,0.194214876,"sa3008868"
"J.J. D'Orazio","ARI","AA",23,39,139,147,31,24,5,0,2,14,12,6,0,37,1,1,0,5,1,0,0.223021582,"sa3008876"
"Euribiel Angeles","OAK","AA",23,86,320,359,92,66,21,0,5,43,47,32,0,39,4,1,2,16,13,4,0.2875,"sa3008877"
"Maikol Escotto","PIT","AA",23,40,126,142,17,13,2,0,2,17,10,9,0,29,4,3,0,2,3,2,0.134920634,"sa3008878"
"Albert Fabian","SDP","AA",23,48,177,200,44,31,8,0,5,20,20,19,0,37,3,1,0,4,2,4,0.24858757,"sa3008888"
"Leandro Pineda","PHI","AA",23,105,332,394,70,38,22,1,9,46,37,47,0,90,9,6,0,4,7,0,0.210843373,"sa3008905"
"Jorge Burgos","CLE","AA",22,98,355,407,73,40,16,3,14,44,73,43,0,95,4,5,0,7,2,1,0.205633802,"sa3008929"
"Omar De Los Santos","NYM","AA",25,42,118,126,25,17,2,2,4,18,11,5,0,52,2,0,1,2,17,3,0.211864406,"sa3008938"
"Geraldo Quintero","ATL","AA",23,102,335,399,71,46,11,4,10,43,41,52,0,87,7,4,0,1,29,11,0.211940298,"sa3008942"
"Carlos Mendoza","DET","AA",25,83,283,350,79,61,12,1,5,59,31,51,0,36,9,4,3,2,5,4,0.279151943,"sa3008944"
"Felix Stevens","CHC","AA",25,37,113,129,27,19,5,1,2,15,13,12,0,39,2,2,0,3,2,0,0.238938053,"sa3008946"
"Rubel Cespedes","MIN","AA",24,93,360,398,88,55,21,3,9,41,53,35,0,67,2,1,0,9,1,1,0.244444444,"sa3008953"
