Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Alec Marsh","KCR",9,9,0,26,25,129,8.581395856363214,2.720930393481019,1.3255814737471632,0.29213483146067415,0.70355191,0.37735849,0.124183006,94.28972164890054,4.534883989135031,4.962780509031212,4.33702248317764,4.215606089577734,1.3652663063257933,"Alec Marsh",27451,679525
"Osvaldo Bido","OAK",5,3,0,16,9,63.1,8.952632028310274,3.6947370275566214,0.4263158108719179,0.25,0.71030641,0.296296296,0.037974683,94.99340355282737,3.410526486975343,2.70196709831613,3.3559534720106474,4.6261956003714655,1.3592099994421005,"Osvaldo Bido",23150,674370
"Calvin Faucher","MIA",2,3,6,53,0,53.2,10.565218642953747,4.360248963758689,0,0.34507042253521125,0.6835443,0.464285714,0,96.16922729863222,3.186335781208273,3.7201693132930402,2.495672245403843,3.7635055312544816,1.3369042873382568,"Calvin Faucher",20116,676534
"Casey Mize","DET",2,6,0,22,20,102.1,6.85993487473011,2.550488607271451,0.9674267131029642,0.3313253012048193,0.6954612,0.48973607,0.108910891,95.73400341940066,4.485342033477379,4.72140837278961,3.9482387383729987,4.043152572821671,1.3361964002251625,"Casey Mize",20492,663554
"Chris Flexen","CHW",3,15,0,33,30,160,6.91875024743379,3.5437501267343805,1.350000048279764,0.3151515151515151,0.70955535,0.356031128,0.103896103,91.43145376352163,4.950000177025801,4.707714500638886,4.797729836627844,5.03069198144204,1.3158746138215065,"Chris Flexen",13896,623167
"Declan Cronin","MIA",3,4,0,56,0,70.1,9.213271807859847,3.1990527110624467,0.12796210844249786,0.3645320197044335,0.61776062,0.576354679,0.020833333,93.99001593338816,4.350711687044928,3.6411648449800578,2.5835412842739713,3.4305993070637726,1.314839482307434,"Declan Cronin",25645,686539
"Lance Lynn","STL",7,4,0,23,23,117.1,8.360795816976193,3.375000146302316,1.2272727804735695,0.2869822485207101,0.6998557,0.362857142,0.111111111,92.49589554704016,3.835227438979905,4.92626280358165,4.308525282341589,4.391444693571976,1.3088150024414062,"Lance Lynn",2520,458681
"Frankie Montas","- - -",7,11,0,30,30,150.2,8.840708337661791,3.942478042470799,1.4336283790802904,0.2822384428223844,0.68946188,0.41588785,0.148148148,95.75308814010357,4.838495779395981,4.687334638437712,4.7063028521167745,4.261249924982076,1.296804666519165,"Frankie Montas",14309,593423
"Jason Adam","- - -",7,2,4,74,0,73.2,9.895928455881702,2.8099549936454213,0.6108597812272656,0.20958083832335328,0.79032258,0.429411764,0.073529411,95.55576760165663,1.9547512999272498,3.127611917074049,3.0307331602392917,3.5440803306491606,1.2951510548591614,"Jason Adam",11861,592094
"Ben Brown","CHC",1,3,0,15,8,55.1,10.40963879343145,3.0903615167999616,0.813253030736832,0.2706766917293233,0.72222222,0.386861313,0.080645161,96.7000759956532,3.578313335242061,4.149106757466555,3.112262909574006,3.631742220049449,1.2893148064613342,"Ben Brown",23590,676962
