Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Taj Bradley","TBR",5,6,0,19,19,103.2,7.72668829244358,3.4726688954802607,1.0418006686440782,0.273972602739726,0.62919463,0.485148514,0.113207547,96.18677152929355,4.601286286511345,3.696480491768533,4.201385155180248,4.267098621622785,1.4659819910776979,"Taj Bradley",22543,671737
"Ryan Pepiot","TBR",6,7,0,20,20,114.1,8.658892296805663,2.912536499834632,1.4169096485681993,0.2636986301369863,0.82289803,0.392857142,0.141732283,95.00183295955584,3.384839716024032,4.137843935852175,4.364781701311575,4.0242647443681285,1.4591875266822345,"Ryan Pepiot",26221,686752
"Hoby Milner","TEX",1,2,0,44,0,46,7.826088650015132,2.543478811254918,0,0.2857142857142857,0.68627451,0.538461538,0,87.87303678724501,2.3478265950045394,3.2926675305515913,2.2489873408651118,3.5512188651313035,1.4198793236539615,"Hoby Milner",13346,571948
"Griffin Jax","MIN",1,4,0,44,0,41.1,14.370968588150149,2.177419483053053,0.8709677932212212,0.3829787234042553,0.6981982,0.453608247,0.166666666,97.16734483506944,3.9193550694954955,3.050500806221939,1.93061439097625,1.5644005305119628,1.4189214295852839,"Griffin Jax",20253,643377
"Logan Gilbert","SEA",2,3,0,12,12,61,12.983607166334394,2.2131148578979083,1.3278689147387448,0.2962962962962963,0.74906367,0.412587412,0.166666666,95.59285344997375,3.393442782110126,3.071363672117528,3.0091443344265887,2.4508182915559242,1.4120654729578348,"Logan Gilbert",22250,669302
"Michael King","SDP",4,2,0,10,10,55.2,10.347306039206947,2.7485031666643454,0.9700599411756513,0.25,0.79051383,0.382978723,0.089552238,93.81818974482549,2.5868265098017367,3.1150965892466864,3.2660403924544195,3.713519319370132,1.3967872641929198,"Michael King",19853,650633
"Casey Mize","DET",9,3,0,16,16,88.2,7.815789781920668,2.2330827948344765,1.2180451608188054,0.28793774319066145,0.82429501,0.402985074,0.107142857,94.75152007918552,3.1466166654485805,3.367404990348576,3.941043792840309,4.121811689279018,1.375589760118168,"Casey Mize",20492,663554
"José Berríos","TOR",5,4,0,20,20,115.1,7.569364433072861,3.199422079958632,1.170520273155597,0.27358490566037735,0.77952756,0.389728096,0.111940298,93.0622405533451,3.7456648740979106,4.793746327889584,4.34549423688445,4.439303350654363,1.3607542821393899,"Jose Berrios",14168,621244
"Lucas Giolito","BOS",6,1,0,13,13,72.1,7.963133990517805,2.612903340638655,0.9953917488147256,0.297029702970297,0.74550129,0.370192307,0.096385542,93.61507700212326,3.359447152249699,4.818828682693963,3.679462412169256,4.0041412225285695,1.3525064987850848,"Lucas Giolito",15474,608337
"Cade Smith","CLE",2,3,3,43,0,41,13.390246238402547,3.5121957346629635,0.43902446683287044,0.3368421052631579,0.69105691,0.319587628,0.05,96.47771999258131,3.073171267830093,2.614193885188181,2.115901458951249,2.980257761181718,1.3338124023015716,"Cade Smith",27867,671922
"Reese Olson","DET",4,3,0,11,11,58,8.534483179609522,3.4137932718438084,0.46551726434233753,0.29936305732484075,0.79387187,0.452830188,0.056603773,94.67474640247434,2.948276007501471,3.9240928122957786,3.2609815426870705,3.9921220602535468,1.3065158381021889,"Reese Olson",24968,681857
"Jhoan Duran","MIN",5,4,15,44,0,43.1,10.176923403549488,3.323077029730445,0,0.2920353982300885,0.80769231,0.693693693,0,100.38645375347554,1.6615385148652224,2.4347129397794487,2.1941380050408057,2.832154279227609,1.3044839819248115,"Jhoan Duran",21029,661395
