Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Chase Anderson","TOR",0.3033419,0.67680608,0.45398773,0.6779661,0.79775281,0.75,0.40337423,0.53896104,0.11349693,0.15184049,0.26533742,"Chase Anderson",6895,502624
"Kyle Wright","ATL",0.29471033,0.66393443,0.43525741,0.63247863,0.87037037,0.77060932,0.38065523,0.64285714,0.09984399,0.16536661,0.26521061,"Kyle Wright",19665,657140
"Kris Bubic","KCR",0.24714829,0.70197044,0.44527897,0.70769231,0.79649123,0.7686747,0.43562232,0.47747748,0.10300429,0.16201717,0.26502146,"Kris Bubic",21455,663460
"Justus Sheffield","SEA",0.28313253,0.63350785,0.43522727,0.63829787,0.9214876,0.81723238,0.43409091,0.62931034,0.07954545,0.18522727,0.26477273,"Justus Sheffield",17285,656954
"Dallas Keuchel","CHW",0.31869919,0.68405797,0.45,0.70408163,0.84745763,0.78240741,0.359375,0.54863813,0.09791667,0.16666667,0.26458333,"Dallas Keuchel",9434,572971
"Luke Weaver","ARI",0.28028933,0.7373494,0.47623967,0.60645161,0.8627451,0.77657267,0.42871901,0.60169492,0.10640496,0.15805785,0.26446281,"Luke Weaver",16918,596133
"Matthew Boyd","DET",0.3480826,0.71078431,0.48434622,0.59322034,0.86206897,0.74144487,0.37569061,0.59409594,0.1252302,0.13812155,0.26335175,"Matthew Boyd",15440,571510
"Dustin May","LAD",0.30162413,0.65747126,0.48036952,0.7,0.88111888,0.82451923,0.50230947,0.65178571,0.08429561,0.17898383,0.26327945,"Dustin May",19716,669160
"Brandon Bielak","HOU",0.3133515,0.68558952,0.45637584,0.63478261,0.86624204,0.76838235,0.38422819,0.56756757,0.10552764,0.15577889,0.26130653,"Brandon Bielak",19866,656232
"Kyle Freeland","COL",0.32474964,0.67529412,0.45729537,0.68722467,0.89547038,0.80350195,0.37811388,0.5625,0.08985765,0.17081851,0.26067616,"Kyle Freeland",16256,607536
"Hyun Jin Ryu","TOR",0.33970588,0.71017699,0.48763251,0.67099567,0.82866044,0.76268116,0.39929329,0.58545455,0.11572438,0.14399293,0.25971731,"Hyun Jin Ryu",14444,547943
"Asher Wojciechowski","BAL",0.24867725,0.73310811,0.46142433,0.61702128,0.82488479,0.76205788,0.43916914,0.57738095,0.10979228,0.14985163,0.25964392,"Asher Wojciechowski",10836,592879
"J.A. Happ","NYY",0.30398323,0.73870968,0.47522236,0.69655172,0.82969432,0.77807487,0.39390089,0.65306122,0.10546379,0.15374841,0.2592122,"J.A. Happ",7410,457918
"Sandy Alcantara","MIA",0.31506849,0.69023569,0.48338369,0.6173913,0.87804878,0.784375,0.44864048,0.61046512,0.10422961,0.15407855,0.25830816,"Sandy Alcantara",18684,645261
"Kwang Hyun Kim","STL",0.31967213,0.65182186,0.45350734,0.69230769,0.94409938,0.8381295,0.40293638,0.56493506,0.07340946,0.18433931,0.25774878,"Kwang Hyun Kim",27458,547942
"Brett Anderson","MIL",0.31004367,0.65762712,0.44621514,0.73943662,0.86082474,0.80952381,0.39176627,0.65346535,0.08499336,0.17264276,0.25763612,"Brett Anderson",8223,474463
"Tanner Roark","TOR",0.27140255,0.70170455,0.43951165,0.66442953,0.80566802,0.75252525,0.39067703,0.52272727,0.10876804,0.14872364,0.25749168,"Tanner Roark",8753,543699
"Dylan Cease","CHW",0.26378539,0.65700483,0.41382488,0.65536723,0.84558824,0.77060134,0.38156682,0.54901961,0.09493088,0.16221198,0.25714286,"Dylan Cease",18525,656302
"Martín Pérez","BOS",0.26782884,0.68159204,0.42884802,0.72781065,0.84671533,0.8013544,0.38915779,0.64885496,0.08518877,0.1713456,0.25653437,"Martin Perez",6902,527048
